number,thood,tvelocity,ahood,w1vel,w2vel,shooter,db,turret
1 ,13.0054 ,5096.8165 ,12.9759 ,0.0000 ,0.0000 ,false ,true ,true
2 ,13.0654 ,5107.0834 ,12.9569 ,16.3510 ,16.3510 ,false ,true ,true
3 ,13.1222 ,5116.9292 ,12.9664 ,66.6130 ,49.9598 ,false ,true ,true
4 ,13.1038 ,5113.7263 ,12.9854 ,127.9029 ,95.9272 ,false ,true ,true
5 ,13.1253 ,5117.4729 ,12.9759 ,229.1545 ,180.0499 ,false ,true ,true
6 ,13.0510 ,5104.6083 ,12.9854 ,238.8182 ,187.6429 ,false ,true ,true
7 ,12.9673 ,5090.3795 ,12.9854 ,391.2358 ,302.3186 ,false ,true ,true
8 ,13.0219 ,5099.6238 ,12.9854 ,595.3362 ,465.1064 ,false ,true ,true
9 ,13.0049 ,5096.7385 ,12.9854 ,782.8158 ,808.0680 ,false ,true ,true
10 ,13.0219 ,5099.6238 ,12.9854 ,1069.6276 ,782.6540 ,false ,true ,true
11 ,13.0221 ,5099.6568 ,12.9854 ,1468.1700 ,1044.6590 ,false ,true ,true
12 ,13.0444 ,5103.4622 ,12.9854 ,1740.1503 ,1169.1643 ,false ,true ,true
13 ,13.0219 ,5099.6238 ,12.9854 ,2116.6167 ,1402.5786 ,false ,true ,true
14 ,13.0237 ,5099.9240 ,12.9854 ,2334.9353 ,1516.5056 ,false ,true ,true
15 ,13.0461 ,5103.7654 ,12.9854 ,2483.9526 ,1558.1167 ,false ,true ,true
16 ,13.0217 ,5099.5922 ,12.9854 ,2931.0485 ,1659.4915 ,false ,true ,true
17 ,13.0219 ,5099.6238 ,12.9854 ,3087.7313 ,1914.3948 ,false ,true ,true
18 ,13.0219 ,5099.6238 ,12.9854 ,3349.8037 ,2062.9901 ,false ,true ,true
19 ,13.0237 ,5099.9240 ,12.9759 ,3609.9479 ,2202.6774 ,false ,true ,true
20 ,13.0461 ,5103.7654 ,12.9949 ,3866.2344 ,2340.0809 ,false ,true ,true
21 ,13.0221 ,5099.6568 ,12.9854 ,4133.3365 ,2484.0598 ,false ,true ,true
22 ,13.0461 ,5103.7654 ,12.9854 ,4387.8438 ,2653.0941 ,false ,true ,true
23 ,13.0219 ,5099.6238 ,12.9854 ,4626.2739 ,2816.8619 ,false ,true ,true
24 ,13.0221 ,5099.6568 ,12.9854 ,4810.2908 ,2975.8331 ,false ,true ,true
25 ,13.0217 ,5099.5922 ,12.9854 ,4990.7883 ,3137.0420 ,false ,true ,true
26 ,13.0459 ,5103.7238 ,12.9854 ,5165.5979 ,3348.4404 ,false ,true ,true
27 ,13.0237 ,5099.9240 ,12.9854 ,5300.1634 ,3560.7381 ,false ,true ,true
28 ,13.0221 ,5099.6568 ,12.9854 ,5362.1872 ,3765.8435 ,false ,true ,true
29 ,13.0431 ,5103.2378 ,12.9854 ,5415.4176 ,3984.9875 ,false ,true ,true
30 ,13.0428 ,5103.1964 ,12.9949 ,5449.8354 ,4204.8239 ,false ,true ,true
31 ,13.0221 ,5099.6568 ,12.9854 ,5415.8778 ,4434.9864 ,false ,true ,true
32 ,13.0219 ,5099.6238 ,12.9949 ,5383.3768 ,4667.0586 ,false ,true ,true
33 ,13.0431 ,5103.2378 ,12.9854 ,5310.1705 ,4860.9369 ,false ,true ,true
34 ,13.0461 ,5103.7654 ,12.9949 ,5235.7999 ,5032.1424 ,false ,true ,true
35 ,13.0461 ,5103.7654 ,12.9854 ,5184.2549 ,5204.7195 ,false ,true ,true
36 ,13.0428 ,5103.1964 ,12.9854 ,5110.8292 ,5314.4823 ,false ,true ,true
37 ,13.0221 ,5099.6568 ,12.9949 ,5044.5297 ,5390.3390 ,false ,true ,true
38 ,13.0237 ,5099.9240 ,12.9949 ,5025.6572 ,5452.9394 ,false ,true ,true
39 ,13.0221 ,5099.6568 ,12.9664 ,5018.8570 ,5467.6969 ,false ,true ,true
40 ,13.0221 ,5099.6568 ,12.9854 ,4997.6341 ,5466.7990 ,false ,true ,true
41 ,13.0237 ,5099.9240 ,12.9759 ,4975.6789 ,5422.4753 ,false ,true ,true
42 ,13.0426 ,5103.1549 ,12.9854 ,4913.9349 ,5273.4907 ,false ,true ,true
43 ,13.0461 ,5103.7654 ,12.9854 ,5314.7557 ,5558.8965 ,false ,true ,true
44 ,13.0221 ,5099.6568 ,13.0043 ,4771.5950 ,5637.4069 ,false ,true ,true
45 ,13.0431 ,5103.2378 ,12.9949 ,4911.1928 ,5009.8107 ,false ,true ,true
