"time","x","y","position","velocity","acceleration","jerk","heading"
0,351.895,230.821,0,0,180,0,90
0.02,351.895,231.011,0.189737,3.6,180,0,90.0014
0.04,351.895,231.201,0.379473,7.2,180,0,90.0028
0.06,351.895,231.391,0.56921,10.8,180,0,90.0041
0.08,351.895,231.58,0.758947,14.4,180,0,90.0055
0.1,351.895,231.77,0.948683,18,180,0,90.0069
0.12,351.895,232.156,1.33418,21.6,180,0,90.0123
0.14,351.894,232.614,1.79224,25.2,180,0,90.0191
0.16,351.894,233.148,2.3262,28.8,180,0,90.0296
0.18,351.894,233.745,2.92317,32.4,180,0,90.043
0.2,351.893,234.438,3.61697,36,180,0,90.0655
0.22,351.892,235.19,4.36898,39.6,180,0,90.0938
0.24,351.891,236.012,5.19104,43.2,180,0,90.1295
0.26,351.888,236.908,6.08706,46.8,180,0,90.1737
0.28,351.885,237.879,7.05782,50.4,180,0,90.2292
0.3,351.88,238.924,8.10271,54,180,0,90.2986
0.32,351.874,240.042,9.22053,57.6,180,0,90.3805
0.34,351.865,241.231,10.4098,61.2,180,0,90.4773
0.36,351.853,242.49,11.6688,64.8,180,0,90.5915
0.38,351.838,243.817,12.9961,68.4,180,0,90.7221
0.4,351.818,245.225,14.4042,72,180,0,90.8743
0.42,351.794,246.699,15.8777,75.6,180,0,91.047
0.44,351.763,248.248,17.4275,79.2,180,0,91.2422
0.46,351.725,249.865,19.0445,82.8,180,0,91.4581
0.48,351.678,251.558,20.7384,86.4,180,0,91.6988
0.5,351.622,253.321,22.5028,90,180,0,91.9582
0.52,351.555,255.156,24.3383,93.6,180,0,92.2331
0.54,351.476,257.061,26.2457,97.2,180,0,92.5163
0.56,351.384,259.039,28.2255,100.8,180,0,92.7947
0.58,351.279,261.089,30.2776,104.4,180,0,93.0505
0.6,351.162,263.209,32.4018,108,180,0,93.2603
0.62,351.034,265.402,34.5977,111.6,180,0,93.3927
0.64,350.898,267.665,36.8648,115.2,180,0,93.4259
0.66,350.761,269.98,39.1842,115.123,-180,0,93.3378
0.68,350.632,272.242,41.4499,111.523,-180,0,93.134
0.7,350.517,274.433,43.6444,107.923,-180,0,92.8456
0.72,350.418,276.554,45.7671,104.323,-180,0,92.4935
0.74,350.335,278.603,47.8178,100.723,-180,0,92.1119
0.76,350.269,280.58,49.796,97.1231,-180,0,91.7248
0.78,350.218,282.485,51.7019,93.5231,-180,0,91.3492
0.8,350.18,284.319,53.5357,89.9231,-180,0,90.996
0.82,350.155,286.081,55.2984,86.3231,-180,0,90.6716
0.84,350.139,287.774,56.9913,82.7231,-180,0,90.3769
0.86,350.133,289.389,58.6064,79.1231,-180,0,90.1148
0.88,350.133,290.937,60.1542,75.5231,-180,0,89.8825
0.9,350.138,292.409,61.6267,71.9231,-180,0,89.6799
0.92,350.149,293.815,63.0326,68.3231,-180,0,89.5003
0.94,350.162,295.141,64.3587,64.7231,-180,0,89.3484
0.96,350.178,296.399,65.6165,61.1231,-180,0,89.2173
0.98,350.195,297.587,66.8045,57.5231,-180,0,89.1037
1,350.214,298.703,67.9209,53.9231,-180,0,89.0085
1.02,350.232,299.746,68.9644,50.3231,-180,0,88.9297
1.04,350.251,300.715,69.9336,46.7231,-180,0,88.8639
1.06,350.269,301.61,70.828,43.1231,-180,0,88.8096
1.08,350.287,302.43,71.6482,39.5231,-180,0,88.7679
1.1,350.303,303.179,72.3982,35.9231,-180,0,88.7344
1.12,350.319,303.871,73.0896,32.3231,-180,0,88.7066
1.14,350.332,304.467,73.6866,28.7231,-180,0,88.6865
1.16,350.344,304.998,74.2175,25.1231,-180,0,88.6711
1.18,350.355,305.456,74.6756,21.5231,-180,0,88.6612
1.2,350.364,305.836,75.0554,17.9231,-180,0,88.6534
1.22,350.369,306.026,75.2451,14.3231,-180,0,88.6511
1.24,350.373,306.215,75.4348,10.7231,-180,0,88.6488
1.26,350.378,306.405,75.6246,7.12306,-180,0,88.6464
1.28,350.382,306.595,75.8143,3.52306,-180,0,88.6441
