"time","x","y","position","velocity","acceleration","jerk","heading"
0,368.438,230.821,0,0,0,0,90
0.02,368.437,231.011,0.190404,9.52021,476.011,23800.5,90.0014
0.04,368.437,231.202,0.380808,9.52021,-6.38156e-10,-23800.5,90.0028
0.06,368.437,231.392,0.571184,9.51877,-0.0721803,-3.60901,90.0041
0.08,368.437,231.582,0.760588,9.47021,-2.42782,-117.782,90.0055
0.1,368.437,231.772,0.950992,9.52021,2.5,246.391,90.0069
0.12,368.437,232.16,1.33855,19.378,492.887,24519.4,90.0123
0.14,368.436,232.62,1.79852,22.9982,181.013,-15593.7,90.0191
0.16,368.436,233.157,2.33555,26.8516,192.668,582.735,90.0296
0.18,368.436,233.757,2.93642,30.0434,159.593,-1653.74,90.043
0.2,368.435,234.457,3.63591,34.9748,246.57,4348.85,90.0655
0.22,368.434,235.217,4.39608,38.0086,151.686,-4744.19,90.0938
0.24,368.433,236.049,5.22839,41.6154,180.341,1432.74,90.1295
0.26,368.43,236.958,6.13716,45.4383,191.146,540.258,90.1737
0.28,368.427,237.945,7.12419,49.3514,195.655,225.452,90.2292
0.3,368.422,239.01,8.18924,53.2525,195.051,-30.2014,90.2986
0.32,368.416,240.152,9.3309,57.0831,191.533,-175.925,90.3805
0.34,368.407,241.369,10.5479,60.8491,188.3,-161.655,90.4773
0.36,368.395,242.661,11.8399,64.6015,187.617,-34.1298,90.5915
0.38,368.379,244.025,13.2047,68.2396,181.907,-285.532,90.7221
0.4,368.359,245.477,14.6568,72.6043,218.234,1816.38,90.8743
0.42,368.334,247.001,16.1808,76.2029,179.93,-1915.19,91.047
0.44,368.302,248.607,17.7865,80.2834,204.028,1204.86,91.2422
0.46,368.262,250.286,19.4663,83.9891,185.282,-937.278,91.4581
0.48,368.213,252.048,21.2294,88.1574,208.415,1156.66,91.6988
0.5,368.155,253.886,23.0682,91.9392,189.09,-966.264,91.9582
0.52,368.085,255.801,24.9838,95.7796,192.022,146.597,92.2331
0.54,368.003,257.787,26.9722,99.4202,182.027,-499.721,92.5163
0.56,367.907,259.846,29.0327,103.026,180.288,-86.9765,92.7947
0.58,367.798,261.969,31.1593,106.327,165.06,-761.42,93.0505
0.6,367.678,264.15,33.3431,109.19,143.144,-1095.77,93.2603
0.62,367.548,266.381,35.578,111.748,127.898,-762.3,93.3927
0.64,367.411,268.654,37.8547,113.833,104.274,-1181.23,93.4259
0.66,367.275,270.943,40.1483,114.681,42.3636,-3095.5,93.3378
0.68,367.15,273.146,42.3552,110.342,-216.95,-12965.7,93.134
0.7,367.039,275.254,44.4659,105.537,-240.213,-1163.17,92.8456
0.72,366.945,277.274,46.4876,101.083,-222.746,873.374,92.4935
0.74,366.866,279.213,48.4281,97.0252,-202.865,994.019,92.1119
0.76,366.804,281.078,50.2944,93.3169,-185.417,872.386,91.7248
0.78,366.756,282.875,52.0916,89.862,-172.746,633.555,91.3492
0.8,366.72,284.607,53.8241,86.6209,-162.054,534.617,90.996
0.82,366.696,286.275,55.4926,83.4258,-159.753,115.056,90.6716
0.84,366.681,287.883,57.1006,80.3995,-151.317,421.799,90.3769
0.86,366.675,289.422,58.6399,76.9669,-171.63,-1015.68,90.1148
0.88,366.675,290.903,60.1208,74.0465,-146.018,1280.61,89.8825
0.9,366.68,292.317,61.5343,70.6757,-168.541,-1126.15,89.6799
0.92,366.691,293.671,62.8885,67.7094,-148.312,1011.45,89.5003
0.94,366.703,294.953,64.1707,64.1104,-179.954,-1582.11,89.3484
0.96,366.719,296.173,65.391,61.0125,-154.891,1253.15,89.2173
0.98,366.735,297.328,66.5463,57.7661,-162.319,-371.364,89.1037
1,366.754,298.417,67.635,54.4338,-166.619,-214.991,89.0085
1.02,366.772,299.437,68.6554,51.0202,-170.678,-202.995,88.9297
1.04,366.79,300.387,69.6056,47.5094,-175.539,-243.037,88.8639
1.06,366.808,301.266,70.4851,43.9752,-176.712,-58.6617,88.8096
1.08,366.826,302.074,71.2932,40.4079,-178.364,-82.5729,88.7679
1.1,366.841,302.814,72.0327,36.9749,-171.648,335.801,88.7344
1.12,366.857,303.498,72.7169,34.2079,-138.351,1664.87,88.7066
1.14,366.87,304.088,73.3072,29.5169,-234.55,-4809.98,88.6865
1.16,366.882,304.614,73.8339,26.3345,-159.123,3771.35,88.6711
1.18,366.893,305.069,74.2892,22.7637,-178.539,-970.792,88.6612
1.2,366.902,305.447,74.6671,18.8927,-193.548,-750.458,88.6534
1.22,366.907,305.637,74.8565,9.47009,-471.132,-13879.2,88.6511
1.24,366.911,305.825,75.0448,9.41891,-2.55864,23428.7,88.6488
1.26,366.916,306.014,75.2342,9.46864,2.48646,252.255,88.6464
1.28,366.92,306.204,75.4236,9.4689,0.0129858,-123.674,88.6441
