"time","x","y","position","velocity","acceleration","jerk","heading"
0,429.949,264.207,0,0,0,0,13.0021
0.02,430.1,264.242,0.155032,7.7516,387.58,19379,13.002
0.04,430.251,264.277,0.310064,7.7516,-3.66374e-11,-19379,13.0019
0.06,430.402,264.312,0.465125,7.75305,0.0721802,3.60901,13.0017
0.08,430.553,264.346,0.619935,7.74047,-0.629021,-35.0601,13.0016
0.1,430.704,264.381,0.774967,7.7516,0.556841,59.2931,13.0015
0.12,430.855,264.416,0.929999,7.7516,6.99441e-11,-27.8421,13.0014
0.14,431.122,264.478,1.20422,13.711,297.968,14898.4,13.001
0.16,431.487,264.562,1.57793,18.6855,248.729,-2461.99,13.0005
0.18,431.852,264.647,1.95264,18.7357,2.50833,-12311,12.9999
0.2,432.313,264.753,2.42596,23.6659,246.51,12200.1,12.9989
0.22,432.787,264.863,2.91288,24.3457,33.989,-10626.1,12.9978
0.24,433.336,264.989,3.47575,28.1438,189.906,7795.84,12.9958
0.26,433.907,265.121,4.06147,29.286,57.1088,-6639.86,12.9936
0.28,434.547,265.269,4.7192,32.8863,180.018,6145.45,12.9907
0.3,435.225,265.425,5.41492,34.7861,94.9892,-4251.43,12.9873
0.32,435.945,265.592,6.15399,36.9534,108.366,668.818,12.9833
0.34,436.717,265.769,6.94557,39.5791,131.285,1145.99,12.9781
0.36,437.54,265.958,7.78984,42.2132,131.702,20.833,12.9719
0.38,438.409,266.159,8.68163,44.5895,118.816,-644.314,12.9649
0.4,439.323,266.369,9.61992,46.9145,116.251,-128.225,12.9565
0.42,440.284,266.59,10.6057,49.2869,118.616,118.233,12.9468
0.44,441.292,266.822,11.64,51.7191,121.613,149.829,12.9358
0.46,442.347,267.065,12.7232,54.1586,121.974,18.0495,12.923
0.48,443.45,267.316,13.8537,56.5269,118.419,-177.73,12.9084
0.5,444.598,267.579,15.032,58.9148,119.392,48.6327,12.8922
0.52,445.798,267.855,16.2635,61.5719,132.856,673.238,12.8734
0.54,447.045,268.139,17.5424,63.9476,118.782,-703.71,12.8523
0.56,448.338,268.434,18.8681,66.2842,116.831,-97.5779,12.829
0.58,449.679,268.739,20.244,68.7926,125.42,429.491,12.8025
0.6,451.069,269.054,21.6684,71.2228,121.513,-195.345,12.7733
0.62,452.504,269.379,23.14,73.5768,117.697,-190.803,12.7407
0.64,453.991,269.716,24.6648,76.2402,133.168,773.534,12.7043
0.66,455.522,270.06,26.2343,78.4774,111.865,-1065.18,12.6643
0.68,457.105,270.415,27.8562,81.0927,130.76,944.795,12.6197
0.7,458.735,270.779,29.5261,83.4989,120.314,-522.335,12.5707
0.72,460.412,271.152,31.2445,85.9168,120.894,28.9892,12.5165
0.74,462.14,271.535,33.0141,88.4826,128.29,369.827,12.457
0.76,463.917,271.926,34.8342,91.0048,126.11,-109.027,12.3911
0.78,465.743,272.327,36.7029,93.4358,121.552,-227.865,12.3191
0.8,467.618,272.734,38.6222,95.9621,126.312,237.968,12.2397
0.82,469.541,273.151,40.5902,98.4014,121.967,-217.219,12.1529
0.84,471.516,273.574,42.6098,100.978,128.832,343.259,12.0579
0.86,473.541,274.005,44.6796,103.49,125.582,-162.514,11.9539
0.88,475.617,274.442,46.801,106.07,129.001,170.956,11.8408
0.9,477.743,274.885,48.9726,108.581,125.586,-170.744,11.7173
0.92,479.918,275.334,51.1942,111.082,125.025,-28.0783,11.5835
0.94,482.145,275.788,53.467,113.636,127.715,134.513,11.4391
0.96,484.426,276.246,55.7938,116.34,135.188,373.663,11.2826
0.98,486.757,276.707,58.1694,118.781,122.043,-657.283,11.1153
1,489.139,277.171,60.5965,121.359,128.892,342.458,10.9373
1.02,491.549,277.633,63.0504,122.694,66.7683,-3106.18,10.7505
1.04,493.962,278.087,65.5053,122.742,2.40342,-3218.24,10.5586
1.06,496.377,278.533,67.9614,122.807,3.24853,42.2552,10.3633
1.08,498.795,278.971,70.4186,122.861,2.71066,-26.8932,10.1667
1.1,501.214,279.401,72.8752,122.826,-1.78687,-224.877,9.97109
1.12,503.632,279.821,75.33,122.743,-4.12581,-116.947,9.77921
1.14,506.051,280.234,77.7839,122.695,-2.38939,86.8205,9.59335
1.16,508.469,280.639,80.235,122.552,-7.16232,-238.646,9.41621
1.18,510.885,281.036,82.6838,122.442,-5.50645,82.7931,9.25013
1.2,513.298,281.425,85.1277,122.196,-12.2822,-338.786,9.09661
1.22,515.707,281.809,87.5674,121.985,-10.5446,86.8773,8.95838
1.24,518.113,282.185,90.0028,121.77,-10.7747,-11.5012,8.83526
1.26,520.516,282.556,92.4338,121.548,-11.1133,-16.9313,8.7283
1.28,522.915,282.922,94.8605,121.334,-10.6881,21.2593,8.63747
1.3,525.309,283.284,97.2823,121.092,-12.0762,-69.4055,8.56181
1.32,527.699,283.643,99.6993,120.848,-12.2331,-7.84255,8.50155
1.34,530.073,283.997,102.099,119.977,-43.5177,-1564.23,8.455
1.36,532.397,284.341,104.449,117.493,-124.229,-4035.56,8.42181
1.38,534.669,284.677,106.746,114.85,-132.156,-396.367,8.39977
1.4,536.893,285.006,108.994,112.393,-122.812,467.22,8.38672
1.42,539.068,285.326,111.191,109.896,-124.87,-102.918,8.38158
1.44,541.193,285.639,113.34,107.43,-123.285,79.2355,8.38266
1.46,543.269,285.945,115.438,104.884,-127.294,-200.415,8.38866
1.48,545.296,286.244,117.487,102.456,-121.405,294.448,8.39878
1.5,547.274,286.537,119.487,99.9902,-123.305,-94.9879,8.41172
1.52,549.205,286.822,121.438,97.5824,-120.391,145.671,8.42687
1.54,551.088,287.101,123.342,95.1904,-119.599,39.5989,8.44364
1.56,552.923,287.373,125.197,92.7512,-121.962,-118.136,8.46137
1.58,554.709,287.64,127.003,90.274,-123.857,-94.78,8.47977
1.6,556.447,287.899,128.761,87.8958,-118.912,247.298,8.49833
1.62,558.14,288.152,130.472,85.5771,-115.933,148.949,8.51686
1.64,559.785,288.399,132.135,83.1635,-120.681,-237.427,8.53509
1.66,561.381,288.639,133.749,80.6883,-123.758,-153.845,8.55283
1.68,562.932,288.873,135.318,78.4347,-112.682,553.812,8.56998
1.7,564.432,289.099,136.835,75.8645,-128.508,-791.33,8.58637
1.72,565.889,289.318,138.308,73.6482,-110.817,884.588,8.60198
1.74,567.295,289.532,139.73,71.095,-127.66,-842.175,8.61669
1.76,568.656,289.738,141.107,68.8307,-113.217,722.156,8.63052
1.78,569.969,289.938,142.435,66.4186,-120.603,-369.312,8.64343
1.8,571.234,290.13,143.714,63.9577,-123.046,-122.127,8.65538
1.82,572.452,290.316,144.947,61.6448,-115.645,370.018,8.66639
1.84,573.625,290.494,146.134,59.3299,-115.746,-5.05261,8.6766
1.86,574.751,290.667,147.272,56.9268,-120.153,-220.312,8.68579
1.88,575.826,290.83,148.36,54.4001,-126.336,-309.178,8.69411
1.9,576.855,290.988,149.401,52.0427,-117.869,423.347,8.70167
1.92,577.837,291.139,150.395,49.6795,-118.16,-14.5207,8.70835
1.94,578.774,291.282,151.342,47.3558,-116.182,98.879,8.71431
1.96,579.664,291.418,152.243,45.0454,-115.52,33.1151,8.71968
1.98,580.501,291.547,153.089,42.3286,-135.843,-1016.18,8.72418
2,581.29,291.668,153.887,39.9043,-121.212,731.559,8.72808
2.02,582.034,291.783,154.64,37.642,-113.119,404.652,8.73149
2.04,582.738,291.891,155.352,35.6178,-101.209,595.493,8.7345
2.06,583.386,291.99,156.008,32.791,-141.338,-2006.41,8.73688
2.08,583.984,292.081,156.613,30.2238,-128.362,648.774,8.73882
2.1,584.554,292.169,157.19,28.8622,-68.0768,3014.27,8.74054
2.12,585.042,292.244,157.683,24.6686,-209.683,-7080.29,8.74178
2.14,585.523,292.318,158.171,24.3649,-15.184,9724.93,8.74299
2.16,585.906,292.377,158.558,19.3658,-249.956,-11738.6,8.74369
2.18,586.276,292.434,158.932,18.7093,-32.8246,10856.6,8.74431
2.2,586.601,292.484,159.261,16.4337,-113.781,-4047.8,8.74483
2.22,586.754,292.508,159.416,7.74152,-434.608,-16041.3,8.74497
2.24,586.907,292.531,159.57,7.73393,-0.379534,21711.4,8.74511
2.26,587.06,292.555,159.725,7.74152,0.379534,37.9534,8.74525
2.28,587.214,292.578,159.881,7.78338,2.09287,85.6666,8.74539
2.3,587.367,292.602,160.036,7.74152,-2.09287,-209.287,8.74553
2.32,587.52,292.625,160.19,7.73393,-0.379534,85.6666,8.74567
