"time","x","y","position","velocity","acceleration","jerk","heading"
0,327.251,244.184,0,0,40,0,59.4208
0.02,327.296,244.261,0.0894427,0.8,40,0,59.4359
0.04,327.342,244.338,0.178885,1.6,40,0,59.451
0.06,327.387,244.415,0.268328,2.4,40,0,59.466
0.08,327.433,244.492,0.357771,3.2,40,0,59.4811
0.1,327.478,244.569,0.447214,4,40,0,59.4962
0.12,327.524,244.646,0.536656,4.8,40,0,59.5113
0.14,327.569,244.723,0.626099,5.6,40,0,59.5264
0.16,327.615,244.8,0.715542,6.4,40,0,59.5415
0.18,327.66,244.877,0.804984,7.2,40,0,59.5566
0.2,327.705,244.954,0.894427,8,40,0,59.5717
0.22,327.751,245.031,0.98387,8.8,40,0,59.5868
0.24,327.848,245.198,1.17699,9.6,40,0,59.6733
0.26,327.957,245.384,1.39293,10.4,40,0,59.7755
0.28,328.066,245.571,1.60886,11.2,40,0,59.8777
0.3,328.174,245.757,1.82479,12,40,0,59.9799
0.32,328.288,245.955,2.05308,12.8,40,0,60.1029
0.34,328.428,246.199,2.33449,13.6,40,0,60.3149
0.36,328.567,246.444,2.6159,14.4,40,0,60.527
0.38,328.705,246.689,2.89731,15.2,40,0,60.739
0.4,328.859,246.964,3.21199,16,40,0,61.0312
0.42,329.02,247.256,3.5458,16.8,40,0,61.3695
0.44,329.179,247.55,3.8796,17.6,40,0,61.7078
0.46,329.35,247.87,4.24223,18.4,40,0,62.1339
0.48,329.526,248.205,4.62111,19.2,40,0,62.6095
0.5,329.699,248.542,5,20,40,0,63.085
0.52,329.887,248.917,5.41909,20.8,40,0,63.7049
0.54,330.071,249.293,5.83818,21.6,40,0,64.3248
0.56,330.26,249.692,6.27976,22.4,40,0,65.0567
0.58,330.45,250.107,6.73549,23.2,40,0,65.8589
0.6,330.639,250.537,7.20545,24,40,0,66.6947
0.62,330.83,250.988,7.69507,24.8,40,0,67.5767
0.64,331.018,251.453,8.19665,25.6,40,0,68.5321
0.66,331.205,251.939,8.71796,26.4,40,0,69.6086
0.68,331.387,252.442,9.25298,27.2,40,0,70.7229
0.7,331.564,252.964,9.80415,28,40,0,71.8819
0.72,331.735,253.507,10.3736,28.8,40,0,73.1387
0.74,331.897,254.064,10.9531,29.6,40,0,74.4495
0.76,332.052,254.648,11.5574,30.4,40,0,75.8237
0.78,332.196,255.244,12.1708,31.2,40,0,77.224
0.8,332.327,255.863,12.8032,32,40,0,78.6794
0.82,332.447,256.501,13.4526,32.8,40,0,80.1693
0.84,332.551,257.154,14.1137,33.6,40,0,81.6718
0.86,332.64,257.829,14.7948,34.4,40,0,83.1598
0.88,332.714,258.522,15.492,35.2,40,0,84.6604
0.9,332.77,259.231,16.2024,36,40,0,86.1409
0.92,332.809,259.956,16.929,36.8,40,0,87.555
0.94,332.831,260.702,17.6751,37.6,40,0,88.9431
0.96,332.835,261.462,18.4353,38.4,40,0,90.2496
0.98,332.822,262.237,19.2101,39.2,31.5945,0,91.4735
1,332.792,263.026,20,40,0.000479491,0,92.6367
1.02,332.748,263.825,20.8,40,9.58937e-05,0,93.6256
