"time","x","y","position","velocity","acceleration","jerk","heading"
0,361.059,282.63,0,0,0,0,-93.3665
0.02,361.058,282.618,0.0119769,0.598847,29.9424,1497.12,-93.3662
0.04,361.056,282.582,0.04786,1.79415,59.7653,1491.15,-93.3654
0.06,361.053,282.522,0.107633,2.98866,59.7253,-2.00043,-93.364
0.08,361.048,282.439,0.191372,4.18696,59.9148,9.47711,-93.3621
0.1,361.041,282.332,0.298062,5.33449,57.3768,-126.901,-93.3596
0.12,361.034,282.201,0.42958,6.57586,62.0685,234.586,-93.3565
0.14,361.025,282.046,0.585063,7.77417,59.9153,-107.66,-93.3529
0.16,361.014,281.867,0.764515,8.9726,59.9216,0.310884,-93.3488
0.18,361.002,281.665,0.965994,10.074,55.0676,-242.697,-93.3401
0.2,360.989,281.441,1.19124,11.2622,59.4144,217.34,-93.3256
0.22,360.974,281.192,1.44024,12.4499,59.381,-1.67065,-93.3096
0.24,360.959,280.921,1.71193,13.5846,56.7393,-132.087,-93.2921
0.26,360.942,280.627,2.00633,14.7201,56.7746,1.76914,-93.2639
0.28,360.924,280.311,2.32313,15.8399,55.987,-39.3829,-93.2328
0.3,360.905,279.97,2.66405,17.0461,60.3117,216.235,-93.1973
0.32,360.885,279.609,3.02589,18.092,52.2919,-400.99,-93.1523
0.34,360.864,279.224,3.41116,19.2633,58.5671,313.761,-93.1043
0.36,360.842,278.817,3.81928,20.4064,57.1541,-70.6518,-93.0463
0.38,360.819,278.387,4.24956,21.5138,55.3707,-89.1674,-92.9845
0.4,360.796,277.935,4.70209,22.6264,55.6303,12.9808,-92.9145
0.42,360.772,277.459,5.17873,23.8321,60.2829,232.628,-92.8403
0.44,360.748,276.961,5.67716,24.9214,54.4654,-290.873,-92.7606
0.46,360.723,276.439,6.19996,26.14,60.9312,323.289,-92.6779
0.48,360.698,275.894,6.74502,27.253,55.6526,-263.929,-92.5921
0.5,360.672,275.326,7.31453,28.4757,61.1345,274.096,-92.5081
0.52,360.647,274.731,7.90949,29.7482,63.6218,124.362,-92.4265
