"time","x","y","position","velocity","acceleration","jerk","heading"
0,578.316,297.674,0,0,0,0,-144.462
0.02,578.18,297.577,0.16647,8.32352,416.176,20808.8,-144.464
0.04,578.045,297.481,0.332652,8.30909,-0.721803,-20844.9,-144.467
0.06,577.909,297.383,0.499705,8.35266,2.17844,145.012,-144.469
0.08,577.774,297.287,0.666176,8.32352,-1.45663,-181.754,-144.471
0.1,577.638,297.19,0.832646,8.32352,-2.7778e-08,72.8317,-144.473
0.12,577.498,297.089,1.00551,8.64321,15.9843,799.217,-144.475
0.14,577.171,296.857,1.40635,20.0421,569.944,27698,-144.485
0.16,576.845,296.624,1.80777,20.0711,1.45104,-28424.6,-144.495
0.18,576.465,296.352,2.27407,23.315,162.194,8037.16,-144.511
0.2,576.041,296.051,2.79467,26.0298,135.741,-1322.66,-144.531
0.22,575.567,295.713,3.37649,29.091,153.06,865.971,-144.562
0.24,575.064,295.355,3.99343,30.8472,87.8083,-3262.6,-144.601
0.26,574.498,294.954,4.68736,34.6962,192.452,5232.21,-144.652
0.28,573.896,294.526,5.42641,36.9524,112.806,-3982.31,-144.713
0.3,573.253,294.072,6.21408,39.3836,121.564,437.899,-144.788
0.32,572.568,293.589,7.05172,41.8823,124.931,168.336,-144.882
0.34,571.839,293.078,7.94132,44.4796,129.868,246.856,-144.991
0.36,571.067,292.539,8.88334,47.1011,131.075,60.3368,-145.121
0.38,570.253,291.973,9.87496,49.581,123.994,-354.021,-145.277
0.4,569.397,291.381,10.9159,52.0475,123.324,-33.5073,-145.456
0.42,568.498,290.765,12.0056,54.4836,121.804,-76.0313,-145.663
0.44,567.56,290.127,13.1401,56.7236,112.001,-490.134,-145.902
0.46,566.58,289.467,14.3213,59.0626,116.949,247.396,-146.17
0.48,565.561,288.786,15.5473,61.299,111.821,-256.372,-146.479
0.5,564.497,288.086,16.8203,63.6499,117.546,286.21,-146.826
0.52,563.396,287.372,18.1334,65.6545,100.228,-865.882,-147.216
0.54,562.25,286.64,19.4927,67.9654,115.547,765.93,-147.654
0.56,561.066,285.897,20.89,69.8673,95.0954,-1022.55,-148.141
0.58,559.839,285.142,22.331,72.0474,109.006,695.54,-148.686
0.6,558.573,284.381,23.8078,73.8432,89.7913,-960.747,-149.288
0.62,557.267,283.615,25.3224,75.7273,94.2034,220.606,-149.954
0.64,555.918,282.846,26.8751,77.6363,95.4491,62.2845,-150.691
0.66,554.53,282.079,28.4614,79.3165,84.0108,-571.918,-151.5
