"time","x","y","position","velocity","acceleration","jerk","heading"
0,437.576,68.4439,0,0,180,0,156.25
0.02,437.402,68.5203,0.189737,3.6,180,0,156.242
0.04,437.229,68.5967,0.379473,7.2,180,0,156.233
0.06,437.055,68.6732,0.56921,10.8,180,0,156.225
0.08,436.881,68.7497,0.758947,14.4,180,0,156.216
0.1,436.708,68.8262,0.948683,18,180,0,156.208
0.12,436.355,68.9817,1.33418,21.6,180,0,156.168
0.14,435.936,69.1668,1.79224,25.2,180,0,156.117
0.16,435.448,69.3832,2.3262,28.8,180,0,156.037
0.18,434.902,69.6259,2.92317,32.4,180,0,155.932
0.2,434.269,69.9096,3.61697,36,180,0,155.771
0.22,433.584,70.2191,4.36898,39.6,180,0,155.568
0.24,432.836,70.5607,5.19104,43.2,180,0,155.305
0.26,432.023,70.9373,6.08706,46.8,180,0,154.961
0.28,431.145,71.3513,7.05782,50.4,180,0,154.523
0.3,430.204,71.8049,8.10271,54,180,0,153.98
0.32,429.202,72.3006,9.22053,57.6,180,0,153.315
0.34,428.143,72.8416,10.4098,61.2,180,0,152.511
0.36,427.031,73.4317,11.6688,64.8,180,0,151.546
0.38,425.87,74.0753,12.9961,68.4,180,0,150.396
0.4,424.654,74.7853,14.4042,72,180,0,148.992
0.42,423.402,75.5617,15.8777,75.6,180,0,147.36
0.44,422.11,76.4186,17.4275,79.2,180,0,145.429
0.46,420.796,77.3609,19.0445,82.8,180,0,143.189
0.48,419.462,78.4044,20.7384,86.4,180,0,140.645
0.5,418.126,79.5557,22.5028,90,180,0,137.814
0.52,416.799,80.8238,24.3383,93.6,180,0,134.749
0.54,415.495,82.2155,26.2457,97.2,180,0,131.557
0.56,414.224,83.7332,28.2255,100.8,180,0,128.413
0.58,412.992,85.3744,30.2776,104.4,180,0,125.51
0.6,411.799,87.1317,32.4018,108,107.667,0,123.028
0.62,410.65,88.9731,34.5727,108.042,-180,0,121.151
0.64,409.573,90.805,36.6977,104.442,-180,0,119.963
0.66,408.56,92.5904,38.7507,100.842,-180,0,119.384
0.68,407.592,94.3185,40.7313,97.2423,-180,0,119.285
0.7,406.656,95.9819,42.6397,93.6423,-180,0,119.525
0.72,405.745,97.5765,44.4761,90.0423,-180,0,120.024
0.74,404.854,99.1002,46.2415,86.4423,-180,0,120.684
0.76,403.98,100.552,47.9358,82.8423,-180,0,121.431
0.78,403.127,101.927,49.5539,79.2423,-180,0,122.213
0.8,402.292,103.233,51.1047,75.6423,-180,0,122.992
0.82,401.481,104.465,52.5789,72.0423,-180,0,123.74
0.84,400.691,105.631,53.9877,68.4423,-180,0,124.446
0.86,399.934,106.722,55.3161,64.8423,-180,0,125.085
0.88,399.204,107.749,56.5758,61.2423,-180,0,125.663
0.9,398.506,108.713,57.7657,57.6423,-180,0,126.178
0.92,397.842,109.613,58.8843,54.0423,-180,0,126.628
0.94,397.215,110.45,59.93,50.4423,-180,0,127.017
0.96,396.628,111.224,60.9016,46.8423,-180,0,127.34
0.98,396.082,111.936,61.7985,43.2423,-180,0,127.604
1,395.579,112.587,62.6216,39.6423,-180,0,127.819
1.02,395.116,113.181,63.3747,36.0423,-180,0,127.992
1.04,394.687,113.728,64.0698,32.4423,-180,0,128.134
1.06,394.318,114.197,64.6668,28.8423,-180,0,128.232
1.08,393.986,114.618,65.2024,25.2423,-180,0,128.309
1.1,393.702,114.977,65.6604,21.6423,-180,0,128.359
1.12,393.461,115.282,66.0491,18.0423,-180,0,128.399
1.14,393.343,115.43,66.2388,14.4423,-180,0,128.407
1.16,393.225,115.579,66.4286,10.8423,-180,0,128.416
1.18,393.107,115.728,66.6183,7.24226,-180,0,128.424
1.2,392.989,115.876,66.808,3.64226,-180,0,128.432
1.22,392.871,116.025,66.9978,0.0422636,-180,0,128.441
