"time","x","y","position","velocity","acceleration","jerk","heading"
0,444.238,83.5854,0,0,0,0,156.25
0.02,444.067,83.6609,0.187724,9.38622,469.311,23465.5,156.242
0.04,443.896,83.7363,0.374245,9.32602,-3.0098,-23616,156.233
0.06,443.724,83.8118,0.562009,9.38823,3.11036,306.008,156.225
0.08,443.552,83.8873,0.749485,9.37379,-0.721802,-191.608,156.216
0.1,443.382,83.9629,0.936335,9.34248,-1.5657,-42.1951,156.208
0.12,443.039,84.1137,1.31052,18.7092,468.334,23495,156.168
0.14,442.634,84.2928,1.75386,22.167,172.891,-14772.2,156.117
0.16,442.167,84.4999,2.26459,25.5365,168.478,-220.641,156.037
0.18,441.648,84.7302,2.83178,28.3598,141.161,-1365.87,155.932
0.2,441.058,84.9949,3.47897,32.3592,199.971,2940.49,155.771
0.22,440.426,85.2803,4.17203,34.6532,114.703,-4263.39,155.568
0.24,439.747,85.5903,4.91841,37.3188,133.281,928.898,155.305
0.26,439.024,85.9251,5.71508,39.8335,125.731,-377.498,154.961
0.28,438.261,86.2852,6.55933,42.2126,118.956,-338.752,154.523
0.3,437.461,86.6707,7.44718,44.3923,108.987,-498.422,153.98
0.32,436.631,87.0811,8.37309,46.2956,95.1624,-691.244,153.315
0.34,435.779,87.5164,9.33014,47.8528,77.8604,-865.103,152.511
0.36,434.913,87.9759,10.3104,49.013,58.0129,-992.375,151.546
0.38,434.042,88.4583,11.3058,49.7717,37.9314,-1004.08,150.396
0.4,433.176,88.9638,12.3086,50.1375,18.2904,-982.049,148.992
0.42,432.324,89.4917,13.3106,50.1009,-1.83049,-1006.04,147.36
0.44,431.497,90.0401,14.3034,49.6421,-22.9375,-1055.35,145.429
0.46,430.708,90.6051,15.2737,48.5128,-56.4665,-1676.45,143.189
0.48,429.952,91.1956,16.2329,47.9602,-27.6298,1441.84,140.645
0.5,429.235,91.8132,17.1792,47.3171,-32.152,-226.112,137.814
0.52,428.547,92.4698,18.1299,47.533,10.7948,2147.34,134.749
0.54,427.874,93.1892,19.1156,49.2839,87.5423,3837.37,131.557
0.56,427.186,94.0115,20.1876,53.5992,215.768,6411.27,128.413
0.58,426.458,94.983,21.4017,60.7047,355.272,6975.2,125.51
0.6,425.668,96.1482,22.8091,70.3723,483.382,6405.51,123.028
0.62,424.807,97.5305,24.4377,81.4285,552.809,3471.36,121.151
0.64,423.905,99.067,26.2197,89.1022,383.686,-8456.18,119.963
0.66,422.974,100.707,28.1053,94.2796,258.867,-6240.92,119.384
0.68,422.02,102.41,30.0575,97.6081,166.428,-4621.97,119.285
0.7,421.05,104.134,32.0354,98.8978,64.4848,-5097.16,119.525
0.72,420.068,105.854,34.016,99.0277,6.49538,-2899.47,120.024
0.74,419.08,107.542,35.9716,97.7822,-62.274,-3438.47,120.684
0.76,418.095,109.178,37.8819,95.5126,-113.481,-2560.34,121.431
0.78,417.123,110.745,39.7258,92.1937,-165.946,-2623.28,122.213
0.8,416.167,112.241,41.5008,88.7514,-172.114,-308.366,122.992
0.82,415.237,113.653,43.1917,84.5467,-210.234,-1906.03,123.74
0.84,414.333,114.988,44.804,80.613,-196.689,677.252,124.446
0.86,413.471,116.23,46.3164,75.6198,-249.657,-2648.39,125.085
0.88,412.644,117.394,47.7433,71.3446,-213.762,1794.78,125.663
0.9,411.859,118.478,49.0821,66.9429,-220.082,-316.005,126.178
0.92,411.118,119.483,50.3305,62.4179,-226.25,-308.436,126.628
0.94,410.423,120.409,51.4886,57.9056,-225.616,31.7281,127.017
0.96,409.78,121.258,52.5533,53.2335,-233.604,-399.429,127.34
0.98,409.188,122.03,53.5267,48.6737,-227.993,280.588,127.604
1,408.647,122.73,54.4115,44.238,-221.785,310.377,127.819
1.02,408.153,123.364,55.2146,40.1539,-204.202,879.158,127.992
1.04,407.699,123.943,55.9507,36.808,-167.297,1845.27,128.134
1.06,407.312,124.434,56.5758,31.2527,-277.765,-5523.42,128.232
1.08,406.967,124.873,57.1342,27.9195,-166.663,5555.11,128.309
1.1,406.674,125.243,57.6064,23.6094,-215.502,-2441.98,128.359
1.12,406.425,125.557,58.0066,20.0136,-179.789,1785.65,128.399
1.14,406.306,125.707,58.1982,9.57963,-521.699,-17095.5,128.407
1.16,406.186,125.858,58.3909,9.63321,2.67913,26218.9,128.416
1.18,406.067,126.009,58.5833,9.61878,-0.721803,-170.047,128.424
1.2,405.948,126.159,58.7749,9.57963,-1.95732,-61.7757,128.432
1.22,405.828,126.31,58.9675,9.63321,2.67912,231.822,128.441
