"time","x","y","position","velocity","acceleration","jerk","heading"
0,323.06,255.372,0,0,0,0,37.405
0.02,323.173,255.458,0.141902,7.0951,354.755,17737.7,37.4026
0.04,323.286,255.545,0.284598,7.13482,1.98614,-17638.4,37.4002
0.06,323.399,255.631,0.426472,7.09366,-2.05832,-202.223,37.3979
0.08,323.512,255.717,0.568374,7.0951,0.07218,106.525,37.3955
0.1,323.625,255.804,0.71107,7.13482,1.98614,95.698,37.3931
0.12,323.738,255.889,0.852365,7.06476,-3.50312,-274.463,37.3907
0.14,323.85,255.976,0.994238,7.09366,1.4448,247.396,37.3884
0.16,324.113,256.177,1.32578,16.5772,474.178,23636.7,37.3741
0.18,324.389,256.387,1.67198,17.3098,36.6316,-21877.3,37.3589
0.2,324.663,256.596,2.01738,17.2701,-1.98806,-1930.98,37.3437
0.22,325.025,256.872,2.47181,22.7212,272.558,13727.3,37.3118
0.24,325.386,257.148,2.9262,22.7198,-0.0721849,-13631.5,37.28
0.26,325.801,257.463,3.44718,26.049,166.46,8326.62,37.233
0.28,326.233,257.791,3.98955,27.1183,53.4637,-5649.83,37.1812
0.3,326.718,258.159,4.59897,30.4712,167.648,5709.19,37.1098
0.32,327.224,258.541,5.23307,31.7049,61.6829,-5298.23,37.0305
0.34,327.776,258.957,5.92449,34.5708,143.298,4080.74,36.9307
0.36,328.366,259.399,6.66087,36.8192,112.42,-1543.91,36.8123
0.38,328.987,259.863,7.4368,38.7962,98.8502,-678.473,36.6761
0.4,329.645,260.352,8.25594,40.9571,108.045,459.734,36.5177
0.42,330.352,260.875,9.13559,43.9826,151.275,2161.5,36.3264
0.44,331.098,261.421,10.0598,46.2112,111.427,-1992.37,36.109
0.46,331.884,261.992,11.031,48.5608,117.483,302.773,35.862
0.48,332.712,262.588,12.0518,51.0398,123.95,323.377,35.5821
0.5,333.585,263.208,13.122,53.5109,123.552,-19.9089,35.2659
0.52,334.504,263.854,14.2455,56.1734,133.124,478.606,34.9099
0.54,335.47,264.522,15.4202,58.7325,127.954,-258.535,34.5106
0.56,336.484,265.215,16.6484,61.4141,134.081,306.383,34.0645
0.58,337.55,265.928,17.9306,64.1058,134.585,25.192,33.5662
0.6,338.667,266.663,19.2682,66.883,138.863,213.891,33.012
0.62,339.848,267.42,20.6703,70.1028,160.99,1106.36,32.39
0.64,341.083,268.195,22.1291,72.9398,141.847,-957.146,31.7041
0.66,342.379,268.983,23.6459,75.8424,145.13,164.129,30.95
0.68,343.739,269.786,25.2252,78.9625,156.003,543.681,30.1182
0.7,345.17,270.602,26.8722,82.3508,169.419,670.764,29.1977
0.72,346.668,271.422,28.5801,85.3965,152.284,-856.75,28.1942
0.74,348.246,272.248,30.3611,89.0481,182.582,1514.93,27.0855
0.76,349.901,273.073,32.2103,92.46,170.595,-599.376,25.8743
0.78,351.641,273.893,34.1344,96.2038,187.186,829.551,24.5477
0.8,353.463,274.698,36.1256,99.5637,167.997,-959.44,23.1154
0.82,355.38,275.486,38.1984,103.639,203.785,1789.42,21.5525
0.84,357.387,276.246,40.3444,107.299,182.995,-1039.51,19.868
0.86,359.488,276.969,42.566,111.08,189.025,301.499,18.0563
0.88,361.689,277.645,44.8687,115.135,202.739,685.7,16.1097
0.9,363.984,278.264,47.2459,118.861,186.315,-821.205,14.0429
0.92,366.371,278.813,49.6951,122.462,180.036,-313.965,11.8611
0.94,368.847,279.282,52.2157,126.029,178.359,-83.8588,9.57119
0.96,371.405,279.659,54.8012,129.276,162.36,-799.93,7.19429
0.98,374.035,279.935,57.4455,132.213,146.843,-775.876,4.75331
1,376.725,280.099,60.1407,134.759,127.287,-977.796,2.27505
1.02,379.463,280.148,62.8786,136.899,107.013,-1013.68,-0.210782
1.04,382.232,280.079,65.6489,138.514,80.7359,-1313.86,-2.67222
1.06,385.021,279.889,68.444,139.753,61.9581,-938.888,-5.07673
1.08,387.813,279.583,71.2524,140.424,33.5584,-1419.98,-7.39315
1.1,390.595,279.166,74.0662,140.688,13.1963,-1018.1,-9.58812
1.12,393.361,278.647,76.8807,140.723,1.738,-572.917,-11.6465
