"time","x","y","position","velocity","acceleration","jerk","heading"
0,333.109,242.231,0,0,100,0,37.405
0.02,333.221,242.317,0.141421,2,100,0,37.4026
0.04,333.334,242.403,0.282843,4,100,0,37.4002
0.06,333.446,242.489,0.424264,6,100,0,37.3979
0.08,333.558,242.575,0.565685,8,100,0,37.3955
0.1,333.671,242.661,0.707107,10,100,0,37.3931
0.12,333.783,242.746,0.848528,12,100,0,37.3907
0.14,333.895,242.832,0.989949,14,100,0,37.3884
0.16,334.155,243.031,1.31716,16,100,0,37.3741
0.18,334.427,243.238,1.65858,18,100,0,37.3589
0.2,334.698,243.445,2,20,100,0,37.3437
0.22,335.052,243.715,2.44495,22,100,0,37.3118
0.24,335.406,243.985,2.8899,24,100,0,37.28
0.26,335.81,244.292,3.39719,26,100,0,37.233
0.28,336.23,244.611,3.92498,28,100,0,37.1812
0.3,336.699,244.967,4.51392,30,100,0,37.1098
0.32,337.187,245.335,5.12498,32,100,0,37.0305
0.34,337.716,245.734,5.78762,34,100,0,36.9307
0.36,338.278,246.155,6.48963,36,100,0,36.8123
0.38,338.868,246.596,7.22583,38,100,0,36.6761
0.4,339.489,247.057,8,40,100,0,36.5177
0.42,340.152,247.547,8.82426,42,100,0,36.3264
0.44,340.847,248.056,9.68568,44,100,0,36.109
0.46,341.575,248.585,10.5858,46,100,0,35.862
0.48,342.338,249.134,11.5254,48,100,0,35.5821
0.5,343.136,249.701,12.505,50,100,0,35.2659
0.52,343.971,250.288,13.5246,52,100,0,34.9099
0.54,344.842,250.891,14.5842,54,100,0,34.5106
0.56,345.75,251.511,15.6835,56,100,0,34.0645
0.58,346.696,252.144,16.8222,58,100,0,33.5662
0.6,347.68,252.791,18,60,100,0,33.012
0.62,348.709,253.451,19.2222,62,100,0,32.39
0.64,349.777,254.121,20.483,64,100,0,31.7041
0.66,350.887,254.796,21.782,66,100,0,30.95
0.68,352.04,255.477,23.1211,68,100,0,30.1182
0.7,353.24,256.161,24.5026,70,100,0,29.1977
0.72,354.484,256.842,25.9207,72,100,0,28.1942
0.74,355.778,257.52,27.3821,74,100,0,27.0855
0.76,357.12,258.189,28.8809,76,100,0,25.8743
0.78,358.514,258.846,30.422,78,100,0,24.5477
0.8,359.957,259.484,32,80,100,0,23.1154
0.82,361.457,260.1,33.6218,82,100,0,21.5525
0.84,363.009,260.688,35.2814,84,100,0,19.868
0.86,364.615,261.241,36.9801,86,100,0,18.0563
0.88,366.279,261.752,38.7213,88,100,0,16.1097
0.9,367.998,262.216,40.5015,90,100,0,14.0429
0.92,369.771,262.624,42.3213,92,100,0,11.8611
0.94,371.598,262.97,44.1808,94,100,0,9.57119
0.96,373.477,263.247,46.0804,96,100,0,7.19429
0.98,375.406,263.449,48.0201,98,100,0,4.75331
1,377.382,263.57,50,100,100,0,2.27505
1.02,379.402,263.606,52.0201,102,100,0,-0.210782
1.04,381.461,263.554,54.0803,104,100,0,-2.67222
1.06,383.557,263.411,56.1807,106,100,0,-5.07673
1.08,385.684,263.178,58.3209,108,100,0,-7.39315
1.1,387.84,262.855,60.501,110,100,0,-9.58812
1.12,390.022,262.445,62.7208,112,100,0,-11.6465
1.14,392.226,261.951,64.9801,114,100,0,-13.5538
1.16,394.454,261.377,67.2807,116,100,0,-15.281
1.18,396.702,260.729,69.6208,118,100,0,-16.8247
1.2,398.971,260.012,72,120,4.37009e-05,0,-18.1843
1.22,401.243,259.239,74.4,120,0,0,-19.3453
1.24,403.5,258.423,76.8,120,0,0,-20.3096
1.26,405.745,257.574,79.2,120,0,0,-21.0818
1.28,407.979,256.698,81.6,120,0,0,-21.6752
1.3,410.206,255.802,84,120,0,0,-22.1061
1.32,412.427,254.893,86.4,120,0,0,-22.3777
1.34,414.645,253.976,88.8,120,0,0,-22.5011
1.36,416.862,253.058,91.2,120,0,0,-22.4863
1.38,419.08,252.142,93.6,120,0,0,-22.3428
1.4,421.302,251.234,96,120,0,0,-22.0839
1.42,423.529,250.339,98.4,120,0,0,-21.7108
1.44,425.762,249.459,100.8,120,0,0,-21.2399
1.46,428.003,248.601,103.2,120,0,0,-20.6767
1.48,430.253,247.766,105.6,120,0,0,-20.029
1.5,432.513,246.958,108,120,0,0,-19.3101
1.52,434.783,246.179,110.4,120,0,0,-18.5259
1.54,437.064,245.433,112.8,120,0,0,-17.6908
1.56,439.356,244.721,115.2,120,0,0,-16.8133
1.58,441.659,244.045,117.6,120,0,0,-15.9037
1.6,443.972,243.406,120,120,0,0,-14.9737
1.62,446.296,242.805,122.4,120,0,0,-14.034
1.64,448.629,242.242,124.8,120,0,0,-13.0956
1.66,450.971,241.717,127.2,120,0,0,-12.1692
1.68,453.321,241.23,129.6,120,0,0,-11.2808
1.7,455.677,240.776,132,120,0,0,-10.5366
1.72,458.039,240.351,134.4,120,0,0,-9.91141
1.74,460.406,239.949,136.8,120,0,0,-9.3658
1.76,462.775,239.569,139.2,120,0,0,-8.89487
1.78,465.148,239.207,141.6,120,0,0,-8.48196
1.8,467.523,238.86,144,120,0,0,-8.1183
1.82,469.899,238.528,146.4,120,0,0,-7.79613
1.84,472.278,238.209,148.8,120,0,0,-7.50571
1.86,474.658,237.901,151.2,120,0,0,-7.24105
1.88,477.04,237.604,153.6,120,0,0,-6.9945
1.9,479.423,237.316,156,120,0,0,-6.75979
1.92,481.806,237.039,158.4,120,0,0,-6.52984
1.94,484.191,236.771,160.8,120,0,0,-6.29767
1.96,486.577,236.512,163.2,120,0,0,-6.05524
1.98,488.965,236.264,165.6,120,0,0,-5.79472
2,491.353,236.028,168,120,0,0,-5.50832
2.02,493.742,235.804,170.4,120,0,0,-5.18293
2.04,496.133,235.595,172.8,120,0,0,-4.80969
2.06,498.526,235.402,175.2,120,0,0,-4.37539
2.08,500.919,235.23,177.6,120,0,0,-3.86613
2.1,503.315,235.08,180,120,0,0,-3.2678
2.12,505.712,234.957,182.4,120,0,0,-2.56049
2.14,508.11,234.866,184.8,120,0,0,-1.73385
2.16,510.509,234.813,187.2,120,0,0,-0.771006
2.18,512.909,234.803,189.6,120,-60.0001,0,0.342817
2.2,515.295,234.842,191.986,118.333,-100,0,1.6085
2.22,517.639,234.936,194.332,116.333,-100,0,3.01616
2.24,519.94,235.087,196.639,114.333,-100,0,4.55118
2.26,522.198,235.299,198.906,112.333,-100,0,6.19493
2.28,524.407,235.572,201.132,110.333,-100,0,7.92256
2.3,526.568,235.906,203.319,108.333,-100,0,9.70196
2.32,528.677,236.301,205.465,106.333,-100,0,11.5002
2.34,530.735,236.753,207.572,104.333,-100,0,13.2843
2.36,532.739,237.259,209.638,102.333,-100,0,15.0232
2.38,534.688,237.813,211.665,100.333,-100,0,16.6882
2.4,536.583,238.41,213.652,98.3333,-100,0,18.263
2.42,538.423,239.044,215.598,96.3333,-100,0,19.7358
2.44,540.21,239.709,217.505,94.3333,-100,0,21.0991
2.46,541.944,240.401,219.371,92.3333,-100,0,22.3485
2.48,543.626,241.113,221.198,90.3333,-100,0,23.4882
2.5,545.259,241.84,222.986,88.3333,-100,0,24.5226
2.52,546.841,242.578,224.731,86.3333,-100,0,25.454
2.54,548.376,243.323,226.438,84.3333,-100,0,26.2965
2.56,549.866,244.072,228.105,82.3333,-100,0,27.0584
2.58,551.309,244.821,229.731,80.3333,-100,0,27.7378
2.6,552.709,245.567,231.318,78.3333,-100,0,28.3459
2.62,554.067,246.308,232.865,76.3333,-100,0,28.892
2.64,555.382,247.041,234.371,74.3333,-100,0,29.3784
