"time","x","y","position","velocity","acceleration","jerk","heading"
0,585.809,260.267,0,0,0,0,-171.254
0.02,585.785,260.263,0.0243311,1.21655,60.8276,3041.38,-171.254
0.04,585.714,260.252,0.0961781,3.59235,118.79,2898.12,-171.254
0.06,585.595,260.234,0.216747,6.02846,121.805,150.765,-171.255
0.08,585.429,260.209,0.384619,8.3936,118.257,-177.419,-171.255
0.1,585.215,260.176,0.600376,10.7878,119.712,72.7463,-171.256
0.12,584.954,260.136,0.864639,13.2131,121.265,77.6766,-171.257
0.14,584.646,260.087,1.177,15.6182,120.254,-50.5741,-171.26
0.16,584.289,260.033,1.53794,18.0467,121.425,58.5462,-171.264
0.18,583.885,259.971,1.94676,20.441,119.712,-85.6584,-171.269
0.2,583.432,259.901,2.40488,22.9062,123.263,177.584,-171.277
0.22,582.932,259.825,2.9108,25.2961,119.492,-188.559,-171.287
0.24,582.383,259.74,3.46603,27.7613,123.261,188.463,-171.3
0.26,581.786,259.65,4.06948,30.1728,120.573,-134.417,-171.317
0.28,581.141,259.551,4.72246,32.6487,123.799,161.288,-171.338
0.3,580.448,259.445,5.42381,35.0677,120.951,-142.408,-171.363
0.32,579.706,259.333,6.17405,37.5116,122.192,62.0877,-171.395
0.34,578.915,259.214,6.97386,39.9908,123.962,88.4881,-171.432
0.36,578.075,259.087,7.82369,42.4916,125.04,53.8954,-171.476
0.38,577.185,258.954,8.72277,44.9538,123.107,-96.6624,-171.528
0.4,576.247,258.815,9.67157,47.4398,124.303,59.8216,-171.587
0.42,575.258,258.67,10.6707,49.9549,125.755,72.5606,-171.655
0.44,574.221,258.518,11.7193,52.4314,123.822,-96.6107,-171.733
0.46,573.133,258.361,12.8184,54.9573,126.298,123.792,-171.821
0.48,571.996,258.199,13.967,57.4304,123.655,-132.151,-171.92
0.5,570.807,258.03,15.1674,60.0168,129.32,283.225,-172.03
0.52,569.569,257.859,16.4175,62.505,124.409,-245.511,-172.153
0.54,568.279,257.683,17.7195,65.0995,129.726,265.814,-172.289
0.56,566.939,257.502,19.0714,67.5952,124.784,-247.075,-172.438
0.58,565.548,257.32,20.4744,70.1491,127.696,145.585,-172.602
0.6,564.105,257.135,21.9294,72.7533,130.209,125.649,-172.781
0.62,562.611,256.948,23.4346,75.2589,125.279,-246.471,-172.975
0.64,561.065,256.76,24.9921,77.8737,130.74,273.047,-173.186
0.66,559.467,256.573,26.6017,80.4789,130.259,-24.0649,-173.413
0.68,557.816,256.386,28.2627,83.0514,128.623,-81.7996,-173.658
0.7,556.114,256.2,29.9749,85.6089,127.877,-37.3125,-173.92
0.72,554.359,256.018,31.7393,88.2233,130.721,142.213,-174.2
0.74,552.552,255.839,33.5549,90.7791,127.789,-146.582,-174.497
0.76,550.692,255.665,35.4231,93.4093,131.511,186.062,-174.814
0.78,548.78,255.497,37.3431,96.001,129.583,-96.4043,-175.148
0.8,546.814,255.336,39.3151,98.6001,129.957,18.7395,-175.499
0.82,544.797,255.184,41.3384,101.162,128.105,-92.6287,-175.869
0.84,542.726,255.041,43.4143,103.796,131.68,178.763,-176.255
0.86,540.603,254.91,45.5406,106.316,126.033,-282.339,-176.656
0.88,538.429,254.79,47.7185,108.892,128.768,136.73,-177.072
0.9,536.204,254.685,49.9461,111.382,124.519,-212.469,-177.5
0.92,533.927,254.594,52.2242,113.907,126.248,86.4869,-177.938
0.94,531.6,254.52,54.5523,116.402,124.761,-74.3415,-178.383
0.96,529.224,254.462,56.9298,118.873,123.551,-60.5304,-178.832
0.98,526.8,254.422,59.3538,121.205,116.557,-349.711,-179.281
1,524.328,254.4,61.8254,123.579,118.723,108.329,-179.724
1.02,521.836,254.398,64.3175,124.602,51.1482,-3378.75,179.849
1.04,519.35,254.414,66.8044,124.346,-12.8177,-3198.3,179.446
1.06,516.87,254.446,69.2845,124.008,-16.8604,-202.137,179.075
1.08,514.398,254.493,71.757,123.622,-19.3366,-123.809,178.741
1.1,511.936,254.554,74.2194,123.122,-24.9598,-281.16,178.45
1.12,509.485,254.625,76.6714,122.598,-26.2043,-62.2263,178.209
1.14,507.047,254.705,79.1108,121.97,-31.4381,-261.686,178.023
1.16,504.622,254.792,81.5376,121.342,-31.3876,2.52503,177.901
1.18,502.212,254.882,83.9489,120.565,-38.8681,-374.026,177.847
1.2,499.818,254.972,86.3449,119.797,-38.3627,25.271,177.869
1.22,497.442,255.058,88.7225,118.88,-45.8845,-376.09,177.971
1.24,495.083,255.138,91.0821,117.983,-44.8233,53.0568,178.16
1.26,492.745,255.208,93.4218,116.985,-49.9136,-254.513,178.44
1.28,490.426,255.264,95.7409,115.954,-51.5271,-80.6749,178.814
1.3,488.129,255.302,98.0385,114.88,-53.7279,-110.039,179.286
1.32,485.852,255.32,100.316,113.861,-50.9543,138.677,179.856
1.34,483.596,255.313,102.572,112.801,-52.9632,-100.446,-179.476
1.36,481.361,255.277,104.807,111.77,-51.5507,70.6269,-178.711
1.38,479.146,255.212,107.022,110.766,-50.2008,67.4955,-177.854
1.4,476.953,255.112,109.219,109.811,-47.7749,121.294,-176.911
1.42,474.777,254.975,111.399,109.002,-40.4559,365.95,-175.887
1.44,472.62,254.799,113.563,108.196,-40.3037,7.61052,-174.792
1.46,470.48,254.583,115.714,107.548,-32.382,396.087,-173.636
1.48,468.356,254.324,117.854,106.999,-27.4554,246.327,-172.431
1.5,466.246,254.02,119.985,106.59,-20.4663,349.455,-171.189
1.52,464.147,253.671,122.113,106.362,-11.3687,454.882,-169.921
1.54,462.061,253.276,124.236,106.185,-8.86932,124.968,-168.64
1.56,459.984,252.834,126.359,106.157,-1.40877,373.027,-167.358
