"time","x","y","position","velocity","acceleration","jerk","heading"
0,581.416,288.823,0,0,0,0,-171.254
0.02,581.263,288.799,0.154582,7.72911,386.455,19322.8,-171.255
0.04,581.11,288.776,0.309013,7.72152,-0.379533,-19341.8,-171.256
0.06,580.957,288.752,0.463595,7.72911,0.379533,37.9533,-171.257
0.08,580.805,288.729,0.618025,7.72152,-0.379533,-37.9533,-171.258
0.1,580.651,288.705,0.773595,7.77851,2.84952,161.453,-171.259
0.12,580.498,288.682,0.928026,7.72152,-2.84952,-284.952,-171.26
0.14,580.228,288.641,1.20139,13.6685,297.347,15009.8,-171.263
0.16,579.859,288.584,1.57489,18.6749,250.324,-2351.16,-171.266
0.18,579.491,288.527,1.94712,18.6111,-3.19258,-12675.8,-171.27
0.2,579.026,288.456,2.41787,23.5378,246.337,12476.5,-171.279
0.22,578.548,288.383,2.90164,24.1886,32.5381,-10690,-171.289
0.24,577.996,288.298,3.46006,27.9209,186.615,7703.83,-171.303
0.26,577.422,288.21,4.04025,29.0096,54.4368,-6608.89,-171.319
0.28,576.779,288.112,4.6907,32.5222,175.63,6059.65,-171.34
0.3,576.099,288.009,5.37872,34.401,93.9408,-4084.45,-171.367
0.32,575.378,287.899,6.10746,36.437,101.8,392.956,-171.397
0.34,574.608,287.783,6.88693,38.9735,126.823,1251.18,-171.433
0.36,573.787,287.66,7.71696,41.5017,126.411,-20.6286,-171.479
0.38,572.922,287.531,8.59124,43.7136,110.594,-790.834,-171.529
0.4,572.014,287.396,9.50915,45.8957,109.105,-74.4425,-171.589
0.42,571.061,287.255,10.4727,48.1765,114.04,246.755,-171.658
0.44,570.062,287.11,11.4823,50.4792,115.133,54.6084,-171.735
0.46,569.019,286.958,12.536,52.6891,110.496,-231.855,-171.823
0.48,567.932,286.803,13.634,54.8993,110.509,0.65486,-171.921
0.5,566.802,286.644,14.7755,57.0734,108.707,-90.0575,-172.032
0.52,565.622,286.481,15.9668,59.5668,124.67,798.102,-172.154
0.54,564.4,286.313,17.2001,61.6629,104.803,-993.325,-172.291
0.56,563.136,286.144,18.4757,63.7822,105.968,58.2501,-172.44
0.58,561.826,285.972,19.7963,66.0286,112.318,317.496,-172.603
0.6,560.473,285.798,21.1608,68.2257,109.855,-123.138,-172.783
0.62,559.077,285.623,22.5675,70.3323,105.332,-226.139,-172.976
0.64,557.635,285.449,24.0205,72.653,116.031,534.95,-173.187
0.66,556.152,285.274,25.5134,74.6417,99.437,-829.72,-173.415
0.68,554.624,285.101,27.0511,76.8885,112.34,645.173,-173.659
0.7,553.052,284.93,28.6322,79.0527,108.209,-206.573,-173.921
0.72,551.44,284.762,30.2536,81.0693,100.83,-368.964,-174.201
0.74,549.781,284.598,31.9203,83.3356,113.314,624.203,-174.498
0.76,548.079,284.439,33.6299,85.4809,107.266,-302.364,-174.814
0.78,546.334,284.285,35.3813,87.5696,104.437,-141.473,-175.149
0.8,544.546,284.14,37.1749,89.6819,105.612,58.7556,-175.501
0.82,542.713,284.002,39.0132,91.912,111.506,294.688,-175.869
0.84,540.838,283.872,40.8934,94.0136,105.079,-321.356,-176.255
0.86,538.917,283.753,42.8173,96.1915,108.896,190.84,-176.657
0.88,536.952,283.645,44.7856,98.4175,111.302,120.298,-177.072
0.9,534.942,283.55,46.7974,100.591,108.669,-131.642,-177.5
0.92,532.887,283.468,48.8547,102.864,113.642,248.645,-177.938
0.94,530.785,283.401,50.9574,105.132,113.438,-10.1773,-178.383
0.96,528.634,283.348,53.1094,107.603,123.506,503.404,-178.832
0.98,526.436,283.312,55.3074,109.898,114.779,-436.35,-179.28
1,524.189,283.292,57.5546,112.359,123.065,414.317,-179.723
1.02,521.912,283.29,59.8313,113.836,73.8188,-2462.34,179.85
1.04,519.628,283.305,62.1153,114.199,18.16,-2782.94,179.448
1.06,517.335,283.334,64.4083,114.654,22.7591,229.951,179.077
1.08,515.032,283.379,66.7124,115.2,27.3081,227.45,178.743
1.1,512.717,283.435,69.0275,115.757,27.8053,24.863,178.45
1.12,510.387,283.503,71.3588,116.565,40.4381,631.641,178.212
1.14,508.043,283.581,73.7044,117.28,35.7334,-235.236,178.026
1.16,505.68,283.665,76.0691,118.237,47.8518,605.92,177.902
1.18,503.296,283.754,78.4541,119.246,50.4667,130.742,177.851
1.2,500.892,283.844,80.8605,120.323,53.8395,168.64,177.871
1.22,498.464,283.932,83.2898,121.466,57.1348,164.765,177.974
1.24,496.01,284.016,85.7451,122.763,64.8551,386.017,178.164
1.26,493.531,284.089,88.2254,124.016,62.642,-110.654,178.442
1.28,491.023,284.15,90.734,125.427,70.5847,397.132,178.819
1.3,488.489,284.192,93.2687,126.737,65.4865,-254.911,179.288
1.32,485.923,284.212,95.8339,128.261,76.1993,535.64,179.86
1.34,483.331,284.204,98.4268,129.644,69.1374,-353.093,-179.472
1.36,480.71,284.162,101.047,131.03,69.2886,7.56093,-178.709
1.38,478.064,284.084,103.695,132.389,67.9435,-67.2565,-177.851
1.4,475.395,283.962,106.366,133.558,58.4743,-473.458,-176.91
1.42,472.703,283.793,109.064,134.863,65.2638,339.471,-175.883
1.44,469.997,283.572,111.779,135.761,44.8696,-1019.71,-174.791
1.46,467.277,283.297,114.513,136.709,47.4023,126.636,-173.634
1.48,464.55,282.964,117.26,137.366,32.8709,-726.573,-172.43
1.5,461.82,282.571,120.018,137.904,26.8977,-298.659,-171.188
1.52,459.091,282.117,122.785,138.332,21.4069,-274.541,-169.92
1.54,456.37,281.602,125.554,138.468,6.79664,-730.511,-168.64
1.56,453.661,281.027,128.324,138.465,-0.148157,-347.24,-167.359
1.58,450.967,280.39,131.091,138.379,-4.31348,-208.266,-166.087
1.6,448.294,279.697,133.852,138.06,-15.9284,-580.744,-164.835
1.62,445.647,278.949,136.604,137.571,-24.4559,-426.377,-163.612
1.64,443.058,278.158,139.311,135.365,-110.303,-4292.34,-162.438
1.66,440.548,277.337,141.952,132.034,-166.582,-2813.97,-161.328
1.68,438.118,276.491,144.525,128.653,-169.028,-122.295,-160.283
1.7,435.765,275.625,147.032,125.367,-164.289,236.972,-159.301
1.72,433.489,274.743,149.473,122.048,-165.948,-82.9904,-158.383
1.74,431.287,273.851,151.849,118.775,-163.665,114.189,-157.528
1.76,429.158,272.953,154.159,115.527,-162.413,62.5591,-156.732
1.78,427.102,272.054,156.404,112.23,-164.838,-121.228,-155.993
1.8,425.115,271.153,158.585,109.073,-157.83,350.403,-155.312
1.82,423.196,270.259,160.703,105.863,-160.519,-134.474,-154.682
1.84,421.342,269.37,162.758,102.791,-153.586,346.685,-154.099
1.86,419.552,268.491,164.753,99.7095,-154.089,-25.1471,-153.563
1.88,417.824,267.622,166.687,96.702,-150.374,185.755,-153.071
1.9,416.156,266.766,168.562,93.7652,-146.84,176.687,-152.617
1.92,414.546,265.924,170.378,90.7967,-148.425,-79.2722,-152.202
1.94,412.996,265.1,172.134,87.7922,-150.225,-89.9807,-151.824
1.96,411.498,264.292,173.835,85.0832,-135.45,738.73,-151.475
1.98,410.057,263.504,175.478,82.1399,-147.163,-585.656,-151.159
2,408.669,262.734,177.065,79.3644,-138.774,419.483,-150.872
2.02,407.334,261.986,178.596,76.5126,-142.592,-190.892,-150.61
2.04,406.047,261.258,180.074,73.9294,-129.16,671.557,-150.373
2.06,404.815,260.554,181.494,70.9673,-148.103,-947.131,-150.159
2.08,403.63,259.871,182.861,68.3803,-129.352,937.57,-149.967
2.1,402.49,259.21,184.179,65.8702,-125.504,192.393,-149.793
2.12,401.404,258.576,185.437,62.9036,-148.33,-1141.29,-149.639
2.14,400.364,257.965,186.643,60.2868,-130.841,874.45,-149.501
2.16,399.37,257.378,187.797,57.7456,-127.058,189.116,-149.378
2.18,398.421,256.815,188.901,55.1616,-129.201,-107.118,-149.27
2.2,397.518,256.278,189.951,52.5127,-132.449,-162.429,-149.175
2.22,396.661,255.764,190.95,49.9724,-127.012,271.877,-149.092
2.24,395.848,255.277,191.898,47.3955,-128.848,-91.7989,-149.02
2.26,395.078,254.814,192.796,44.8903,-125.259,179.453,-148.957
2.28,394.351,254.376,193.645,42.4393,-122.548,135.512,-148.904
2.3,393.664,253.962,194.448,40.1432,-114.808,387.027,-148.858
2.32,393.032,253.579,195.186,36.9152,-161.398,-2329.5,-148.82
2.34,392.44,253.22,195.879,34.636,-113.96,2371.88,-148.789
2.36,391.876,252.879,196.537,32.926,-85.5006,1422.99,-148.763
2.38,391.377,252.576,197.122,29.2155,-185.524,-5001.15,-148.741
2.4,390.906,252.289,197.673,27.5886,-81.3441,5208.98,-148.723
2.42,390.486,252.035,198.165,24.5606,-151.4,-3502.81,-148.711
2.44,390.096,251.797,198.621,22.8085,-87.6071,3189.66,-148.701
2.46,389.774,251.602,198.997,18.8117,-199.837,-5611.49,-148.694
2.48,389.453,251.407,199.373,18.8117,-8.53823e-07,9991.85,-148.687
2.5,389.249,251.282,199.612,11.9515,-343.01,-17150.5,-148.683
2.52,389.116,251.202,199.767,7.73195,-210.98,6601.51,-148.682
2.54,388.984,251.121,199.922,7.75798,1.30165,10614.1,-148.681
2.56,388.851,251.04,200.078,7.81508,2.85481,77.6579,-148.679
2.58,388.718,250.96,200.233,7.73195,-4.15646,-350.564,-148.678
2.6,388.586,250.878,200.388,7.75798,1.30165,272.906,-148.677
