"time","x","y","position","velocity","acceleration","jerk","heading"
0,396.749,111.109,0,0,0,0,-46.5482
0.02,396.758,111.101,0.0120201,0.601006,30.0503,1502.51,-46.5481
0.04,396.781,111.075,0.0473822,1.7681,58.3548,1415.23,-46.548
0.06,396.823,111.031,0.108167,3.03923,63.5561,260.065,-46.5478
0.08,396.88,110.97,0.191589,4.17109,56.5934,-348.139,-46.5475
0.1,396.955,110.892,0.29971,5.4061,61.7501,257.838,-46.5471
0.12,397.046,110.796,0.4319,6.6095,60.1702,-78.9952,-46.5467
0.14,397.153,110.683,0.587371,7.77352,58.2011,-98.4558,-46.546
0.16,397.277,110.552,0.767363,8.99961,61.3043,155.159,-46.5442
0.18,397.417,110.405,0.970636,10.1636,58.2012,-155.154,-46.5421
0.2,397.573,110.239,1.19852,11.394,61.5199,165.932,-46.5393
0.22,397.746,110.057,1.4494,12.544,57.5007,-200.956,-46.5349
0.24,397.935,109.857,1.7242,13.7403,59.813,115.613,-46.53
0.26,398.14,109.641,2.02254,14.9169,58.8304,-49.1288,-46.5226
0.28,398.361,109.407,2.34465,16.1056,59.4352,30.2361,-46.514
0.3,398.6,109.157,2.69024,17.2793,58.6838,-37.5663,-46.5028
0.32,398.854,108.889,3.05936,18.4558,58.8275,7.18495,-46.4891
0.34,399.124,108.604,3.45195,19.6295,58.683,-7.22496,-46.4728
0.36,399.41,108.303,3.8675,20.7775,57.4023,-64.0386,-46.4527
0.38,399.713,107.985,4.30625,21.9376,58.0023,30.0034,-46.4284
0.4,400.03,107.651,4.76762,23.0683,56.535,-73.3679,-46.3997
0.42,400.365,107.3,5.25275,24.2568,59.4239,144.447,-46.3659
0.44,400.716,106.933,5.76003,25.364,55.3633,-203.032,-46.3262
0.46,401.082,106.549,6.29005,26.5008,56.839,73.7867,-46.2798
0.48,401.464,106.15,6.84235,27.6149,55.7052,-56.6918,-46.2256
0.5,401.861,105.736,7.41678,28.7219,55.3483,-17.8439,-46.1626
0.52,402.274,105.306,8.013,29.8109,54.45,-44.9171,-46.0898
0.54,402.704,104.861,8.63127,30.9134,55.1263,33.8169,-46.0059
0.56,403.147,104.401,9.26999,31.9362,51.1368,-199.473,-45.9096
0.58,403.608,103.928,9.93039,33.0198,54.1811,152.214,-45.7982
0.6,404.082,103.441,10.6107,34.0142,49.7199,-223.06,-45.6702
0.62,404.572,102.94,11.3112,35.0267,50.628,45.4026,-45.5247
0.64,405.078,102.427,12.0314,36.0089,49.1087,-75.9619,-45.3566
0.66,405.598,101.902,12.7703,36.9446,46.7829,-116.291,-45.1658
0.68,406.133,101.367,13.527,37.8348,44.5108,-113.603,-44.9461
0.7,406.681,100.822,14.3001,38.6583,41.1759,-166.749,-44.6929
0.72,407.244,100.267,15.0906,39.5215,43.1594,99.1775,-44.4075
0.74,407.821,99.7045,15.8962,40.2835,38.1026,-252.839,-44.0827
0.76,408.412,99.1355,16.7171,41.0407,37.8587,-12.1991,-43.7132
0.78,409.017,98.5617,17.5503,41.6634,31.1357,-336.147,-43.2929
0.8,409.635,97.9846,18.3958,42.2756,30.611,-26.2364,-42.8161
0.82,410.265,97.4058,19.2516,42.7879,25.6122,-249.938,-42.2767
0.84,410.908,96.8272,20.1164,43.24,22.606,-150.312,-41.6694
0.86,411.564,96.2503,20.9899,43.677,21.8488,-37.862,-40.9894
0.88,412.232,95.6766,21.8707,44.0361,17.9535,-194.764,-40.2334
0.9,412.912,95.1091,22.7567,44.304,13.3966,-227.844,-39.3905
0.92,413.608,94.5475,23.6506,44.6948,19.5391,307.126,-38.4692
0.94,414.318,93.9926,24.5518,45.059,18.2139,-66.2629,-37.4749
0.96,415.046,93.4455,25.4627,45.5464,24.3673,307.67,-36.4088
0.98,415.794,92.905,26.3853,46.1299,29.1778,240.527,-35.2907
1,416.566,92.3701,27.325,46.9839,42.6991,676.066,-34.137
1.02,417.359,91.8444,28.276,47.5473,28.1686,-726.524,-32.9816
1.04,418.159,91.3361,29.2241,47.407,-7.0176,-1759.31,-31.8731
1.06,418.962,90.8471,30.1636,46.9772,-21.4894,-723.59,-30.8369
1.08,419.768,90.375,31.098,46.72,-12.8605,431.445,-29.8871
1.1,420.578,89.9174,32.0287,46.5345,-9.27194,179.427,-29.0315
1.12,421.391,89.4736,32.9549,46.307,-11.377,-105.255,-28.2645
1.14,422.206,89.0419,33.877,46.1087,-9.91361,73.1713,-27.5916
1.16,423.021,88.6214,34.7941,45.8513,-12.8723,-147.934,-27.0066
1.18,423.833,88.2121,35.7035,45.471,-19.0126,-307.015,-26.4981
1.2,424.641,87.8136,36.6047,45.0598,-20.5622,-77.4807,-26.0597
1.22,425.442,87.4252,37.4941,44.4724,-29.3663,-440.207,-25.6842
1.24,426.234,87.0469,38.3726,43.9224,-27.501,93.2688,-25.3645
1.26,427.017,86.6784,39.2372,43.2288,-34.6816,-359.033,-25.0933
1.28,427.788,86.3196,40.0878,42.5296,-34.9607,-13.9538,-24.8642
1.3,428.544,85.9705,40.9206,41.6441,-44.2758,-465.756,-24.6709
1.32,429.286,85.631,41.7367,40.8021,-42.1001,108.788,-24.508
1.34,430.012,85.3012,42.5338,39.8542,-47.3939,-264.691,-24.3687
1.36,430.721,84.9808,43.3123,38.9257,-46.4247,48.458,-24.2542
1.38,431.414,84.6697,44.0713,37.9527,-48.6493,-111.232,-24.1594
1.4,432.087,84.368,44.8092,36.8941,-52.9291,-213.989,-24.0802
1.42,432.742,84.0759,45.5266,35.8702,-51.1937,86.7705,-24.0152
1.44,433.378,83.7931,46.222,34.7702,-55.0007,-190.348,-23.961
1.46,433.994,83.5197,46.8963,33.7124,-52.8889,105.588,-23.9169
1.48,434.589,83.2558,47.5471,32.5419,-58.5295,-282.027,-23.8811
1.5,435.164,83.0013,48.1761,31.4505,-54.5701,197.97,-23.8519
1.52,435.718,82.7564,48.7822,30.3036,-57.3404,-138.518,-23.8284
1.54,436.253,82.5208,49.3661,29.1948,-55.4438,94.8327,-23.8095
1.56,436.765,82.2948,49.9258,27.9859,-60.4424,-249.932,-23.7946
1.58,437.255,82.0784,50.4621,26.8142,-58.5862,92.8114,-23.7829
1.6,437.726,81.8714,50.9758,25.6878,-56.3191,113.353,-23.7738
1.62,438.173,81.674,51.4651,24.4616,-61.3118,-249.635,-23.7669
1.64,438.6,81.4863,51.9315,23.3204,-57.0593,212.624,-23.7616
1.66,439.004,81.308,52.3733,22.0896,-61.5416,-224.113,-23.7577
1.68,439.388,81.1394,52.7921,20.9439,-57.282,212.981,-23.7548
1.7,439.749,80.9803,53.1872,19.7525,-59.5699,-114.395,-23.7529
1.72,440.089,80.831,53.5583,18.5557,-59.8393,-13.4716,-23.7515
1.74,440.406,80.6913,53.9046,17.3121,-62.1812,-117.095,-23.7505
1.76,440.702,80.5611,54.2278,16.1631,-57.4506,236.528,-23.75
1.78,440.976,80.4406,54.5271,14.962,-60.0548,-130.21,-23.7496
1.8,441.228,80.3298,54.8023,13.7631,-59.9471,5.38892,-23.7495
1.82,441.458,80.2286,55.0536,12.5629,-60.0081,-3.05063,-23.7494
1.84,441.666,80.1371,55.2808,11.3618,-60.0548,-2.33857,-23.7494
1.86,441.852,80.0553,55.484,10.1596,-60.1087,-2.69412,-23.7494
1.88,442.016,79.9831,55.6632,8.95947,-60.0081,5.03397,-23.7494
1.9,442.158,79.9206,55.8183,7.75729,-60.1087,-5.03462,-23.7494
1.92,442.278,79.8678,55.9495,6.5562,-60.0549,2.69455,-23.7495
1.94,442.376,79.8246,56.0566,5.35496,-60.0619,-0.351207,-23.7495
1.96,442.452,79.7911,56.1396,4.15279,-60.1088,-2.34387,-23.7495
1.98,442.506,79.7673,56.1986,2.95061,-60.1088,9.51866e-06,-23.7495
2,442.539,79.7532,56.2345,1.7943,-57.8153,114.671,-23.7495
