"time","x","y","position","velocity","acceleration","jerk","heading"
0,442.55,79.748,0,0,0,0,156.25
0.02,442.517,79.7626,0.0360855,1.80427,90.2136,4510.68,156.25
0.04,442.419,79.8057,0.143534,5.37242,178.408,4409.7,156.247
0.06,442.254,79.8779,0.322897,8.96817,179.787,68.977,156.243
0.08,442.025,79.9789,0.573005,12.5054,176.86,-146.367,156.237
0.1,441.732,80.1078,0.893355,16.0175,175.609,-62.5493,156.218
0.12,441.376,80.265,1.28259,19.4618,172.212,-169.855,156.188
0.14,440.958,80.4497,1.73951,22.846,169.212,-149.989,156.137
0.16,440.48,80.6616,2.26277,26.1629,165.845,-168.367,156.058
0.18,439.943,80.9005,2.8505,29.3863,161.171,-233.673,155.946
0.2,439.349,81.1666,3.50108,32.5292,157.142,-201.452,155.792
0.22,438.701,81.4595,4.2127,35.5809,152.584,-227.883,155.586
0.24,438.001,81.7789,4.98167,38.4485,143.381,-460.187,155.313
0.26,437.251,82.1261,5.80785,41.3092,143.038,-17.1319,154.969
0.28,436.457,82.5005,6.6857,43.8925,129.163,-693.743,154.533
0.3,435.621,82.9033,7.61418,46.4242,126.583,-129,153.995
0.32,434.749,83.335,8.58747,48.6643,112.007,-728.831,153.334
0.34,433.845,83.7966,9.60219,50.7361,103.592,-420.746,152.53
0.36,432.917,84.2889,10.6528,52.5301,89.6997,-694.601,151.559
0.38,431.971,84.8133,11.7346,54.0912,78.0521,-582.377,150.398
0.4,431.017,85.3704,12.8393,55.2316,57.0229,-1051.46,149.011
0.42,430.062,85.962,13.9627,56.1742,47.1268,-494.805,147.374
0.44,429.117,86.5887,15.0966,56.6926,25.9229,-1060.2,145.452
0.46,428.192,87.2517,16.2342,56.8815,9.44462,-823.915,143.216
0.48,427.291,87.9559,17.3778,57.1799,14.9183,273.682,140.671
0.5,426.419,88.7071,18.5289,57.5529,18.6521,186.694,137.83
0.52,425.57,89.5171,19.7019,58.6519,54.9497,1814.88,134.752
0.54,424.738,90.4058,20.9194,60.8748,111.142,2809.64,131.551
0.56,423.905,91.4018,22.2183,64.9428,203.402,4612.97,128.392
0.58,423.051,92.5389,23.6399,71.0795,306.836,5171.71,125.467
0.6,422.159,93.855,25.2303,79.5236,422.203,5768.36,122.992
0.62,421.219,95.361,27.0053,88.7494,461.292,1954.44,121.099
0.64,420.269,96.9802,28.8828,93.8732,256.19,-10255.1,119.905
0.66,419.31,98.6687,30.8245,97.0882,160.749,-4772.01,119.34
0.68,418.346,100.39,32.797,98.6232,76.747,-4200.12,119.253
0.7,417.378,102.113,34.7738,98.84,10.8415,-3295.28,119.522
0.72,416.406,103.812,36.7313,97.8753,-48.2348,-2953.81,120.033
0.74,415.436,105.469,38.6515,96.0087,-93.3284,-2254.68,120.706
0.76,414.472,107.068,40.5185,93.3506,-132.905,-1978.85,121.465
0.78,413.521,108.598,42.32,90.0762,-163.72,-1540.73,122.257
0.8,412.587,110.054,44.0497,86.4818,-179.719,-799.927,123.045
0.82,411.679,111.431,45.6993,82.4814,-200.023,-1015.21,123.8
0.84,410.799,112.728,47.2665,78.3599,-206.075,-302.59,124.507
0.86,409.953,113.946,48.7492,74.1354,-211.224,-257.479,125.153
0.88,409.142,115.083,50.1458,69.8308,-215.229,-200.231,125.735
0.9,408.372,116.144,51.4565,65.5368,-214.703,26.2767,126.249
0.92,407.644,117.127,52.6797,61.1588,-218.9,-209.859,126.696
0.94,406.962,118.037,53.8175,56.8885,-213.513,269.382,127.08
0.96,406.325,118.875,54.8703,52.6413,-212.361,57.5877,127.402
0.98,405.735,119.643,55.8381,48.3892,-212.604,-12.1664,127.667
1,405.192,120.343,56.7236,44.2733,-205.797,340.357,127.883
1.02,404.698,120.977,57.5278,40.2099,-203.169,131.385,128.054
1.04,404.251,121.545,58.2513,36.1793,-201.531,81.9071,128.183
1.06,403.853,122.052,58.8954,32.2033,-198.799,136.604,128.28
1.08,403.501,122.496,59.4613,28.2931,-195.511,164.408,128.349
1.1,403.197,122.879,59.9507,24.4735,-190.976,226.73,128.394
1.12,402.941,123.203,60.3639,20.6592,-190.716,13.0125,128.422
1.14,402.73,123.468,60.7026,16.9311,-186.405,215.556,128.441
1.16,402.565,123.675,60.9672,13.2301,-185.047,67.8836,128.447
1.18,402.447,123.826,61.1587,9.57487,-182.764,114.166,128.45
1.2,402.372,123.92,61.2796,6.04503,-176.492,313.6,128.453
1.22,402.344,123.955,61.3244,2.24109,-190.197,-685.231,128.453
