"time","x","y","position","velocity","acceleration","jerk","heading"
0,314.523,250.911,0,0,0,0,59.4208
0.02,314.592,251.026,0.133728,6.68638,334.319,16716,59.4453
0.04,314.66,251.141,0.268316,6.7294,2.15063,-16608.4,59.4698
0.06,314.728,251.257,0.402903,6.7294,2.41327e-06,-107.531,59.4943
0.08,314.797,251.373,0.537491,6.7294,5.81662e-06,0.000170167,59.5188
0.1,314.864,251.489,0.671574,6.70412,-1.26387,-63.1936,59.5433
0.12,314.933,251.604,0.805301,6.68639,-0.886595,18.8636,59.5678
0.14,315.001,251.72,0.939889,6.7294,2.1505,151.855,59.5923
0.16,315.145,251.968,1.22657,14.3338,380.221,18903.5,59.734
0.18,315.295,252.225,1.52454,14.8985,28.2348,-17599.3,59.8847
0.2,315.446,252.482,1.82251,14.8985,0.000738554,-1411.7,60.0354
0.22,315.622,252.791,2.17817,17.783,144.225,7211.21,60.3441
0.24,315.798,253.1,2.5342,17.8017,0.93319,-7164.59,60.6528
0.26,315.983,253.431,2.91229,18.9045,55.1411,2710.39,61.1
0.28,316.168,253.769,3.29816,19.2936,19.455,-1784.3,61.5926
0.3,316.355,254.118,3.69382,19.783,24.4705,250.775,62.2598
0.32,316.539,254.471,4.0919,19.9036,6.02918,-922.066,62.9972
0.34,316.718,254.828,4.49108,19.9593,2.78325,-162.297,63.9117
0.36,316.888,255.182,4.88385,19.6384,-16.0428,-941.302,64.982
0.38,317.048,255.532,5.2689,19.2524,-19.2988,-162.799,66.1981
0.4,317.194,255.874,5.64114,18.6118,-32.0325,-636.689,67.5903
0.42,317.324,256.203,5.99478,17.6821,-46.485,-722.621,69.2186
0.44,317.441,256.524,6.33591,17.0567,-31.2679,760.856,71.0217
0.46,317.542,256.835,6.66348,16.3782,-33.9281,-133.01,73.0045
0.48,317.629,257.139,6.97941,15.7969,-29.0639,243.206,75.1631
0.5,317.703,257.44,7.2894,15.4994,-14.8759,709.402,77.4834
0.52,317.764,257.745,7.59987,15.5235,1.20786,804.188,79.9404
0.54,317.813,258.062,7.92079,16.0457,26.1081,1245.01,82.4986
0.56,317.85,258.404,8.26485,17.2033,57.8777,1588.48,85.1148
0.58,317.872,258.783,8.64509,19.0121,90.443,1628.26,87.7401
0.6,317.88,259.215,9.07733,21.6118,129.983,1977,90.3239
0.62,317.865,259.725,9.58727,25.4973,194.278,3214.74,92.7885
0.64,317.823,260.321,10.1844,29.8559,217.931,1182.64,95.0883
0.66,317.748,261.006,10.874,34.4817,231.286,667.749,97.1975
0.68,317.633,261.797,11.6733,39.9626,274.05,2138.21,99.0694
0.7,317.474,262.706,12.5953,46.101,306.919,1643.48,100.658
0.72,317.268,263.724,13.6345,51.9621,293.053,-693.337,101.973
0.74,317.011,264.879,14.8176,59.1532,359.555,3325.1,102.935
0.76,316.707,266.169,16.1425,66.2454,354.609,-247.261,103.538
0.78,316.354,267.617,17.6337,74.5597,415.719,3055.49,103.71
0.8,315.965,269.218,19.2805,82.3418,389.101,-1330.92,103.474
0.82,315.544,271.019,21.1305,92.496,507.71,5930.48,102.683
0.84,315.114,273.026,23.1832,102.636,506.995,-35.7832,101.319
0.86,314.702,275.283,25.4773,114.705,603.449,4822.73,99.257
0.88,314.346,277.877,28.0959,130.933,811.408,10397.9,96.218
0.9,314.126,280.837,31.0634,148.375,872.112,3035.16,92.1043
0.92,314.156,284.231,34.4578,169.72,1067.24,9756.27,86.6459
0.94,314.602,288.039,38.2922,191.716,1099.79,1627.44,79.7976
0.96,315.659,292.191,42.5761,214.196,1124,1210.73,71.527
0.98,317.47,296.438,47.1936,230.878,834.136,-14493.2,62.2322
1,320.002,300.407,51.9018,235.41,226.578,-30377.9,52.7658
1.02,323.024,303.799,56.4441,227.115,-414.77,-32067.4,43.9445
1.04,326.231,306.497,60.6354,209.562,-877.643,-23143.7,36.3453
1.06,329.455,308.598,64.4833,192.395,-858.314,966.463,29.9391
1.08,332.599,310.215,68.019,176.786,-780.489,3891.26,24.6137
1.1,335.669,311.473,71.3363,165.865,-546.03,11723,20.0493
1.12,338.672,312.45,74.4943,157.901,-398.197,7391.66,16.0372
1.14,341.619,313.196,77.534,151.986,-295.78,5120.84,12.432
1.16,344.556,313.752,80.5239,149.493,-124.635,8557.23,9.00273
1.18,347.524,314.131,83.5154,149.576,4.16108,6439.81,5.5687
1.2,350.59,314.332,86.5884,153.651,203.761,9980,1.84913
1.22,353.33,314.348,89.3286,137.008,-832.156,-51795.8,-0.714635
1.24,355.749,314.288,91.7484,120.991,-800.881,1563.74,-2.17001
1.26,358.223,314.159,94.2257,123.867,143.824,47235.3,-3.82438
1.28,360.75,313.949,96.7614,126.785,145.894,103.502,-5.68051
1.3,363.331,313.646,99.3602,129.937,157.587,584.652,-7.75224
1.32,365.948,313.239,102.008,132.407,123.517,-1703.51,-9.99827
1.34,368.596,312.715,104.707,134.957,127.522,200.22,-12.42
1.36,371.26,312.066,107.45,137.119,108.097,-971.237,-14.9924
1.38,373.924,311.286,110.226,138.802,84.1427,-1197.71,-17.6819
1.4,376.569,310.372,113.024,139.899,54.8344,-1465.42,-20.4473
1.42,379.175,309.328,115.831,140.375,23.8201,-1550.71,-23.2427
1.44,381.721,308.161,118.632,140.026,-17.4794,-2064.98,-26.0196
1.46,384.192,306.881,121.415,139.144,-44.0871,-1330.38,-28.7309
1.48,386.574,305.503,124.166,137.578,-78.2823,-1709.76,-31.3339
1.5,388.855,304.046,126.874,135.379,-109.986,-1585.18,-33.7874
1.52,391.033,302.524,129.53,132.801,-128.87,-944.216,-36.0572
1.54,393.105,300.956,132.129,129.934,-143.346,-723.797,-38.1329
1.56,395.076,299.355,134.668,126.987,-147.379,-201.651,-40.0034
1.58,396.951,297.732,137.148,123.966,-151.061,-184.082,-41.6639
1.6,398.737,296.101,139.567,120.95,-150.787,13.6695,-43.114
1.62,400.44,294.469,141.926,117.945,-150.225,28.1124,-44.3566
1.64,402.069,292.845,144.226,114.998,-147.35,143.762,-45.3966
1.66,403.632,291.235,146.469,112.17,-141.427,296.125,-46.2399
1.68,405.135,289.646,148.657,109.411,-137.941,174.33,-46.8926
1.7,406.587,288.08,150.793,106.771,-131.977,298.207,-47.3602
1.72,407.993,286.543,152.875,104.125,-132.296,-15.9473,-47.6476
1.74,409.36,285.039,154.908,101.632,-124.663,381.642,-47.7586
1.76,410.693,283.572,156.889,99.0877,-127.228,-128.237,-47.6959
1.78,411.995,282.145,158.821,96.5876,-125.006,111.081,-47.4607
1.8,413.271,280.762,160.704,94.1128,-123.739,63.3406,-47.0532
1.82,414.526,279.426,162.536,91.6474,-123.267,23.5885,-46.4723
1.84,415.761,278.142,164.317,89.0505,-129.844,-328.828,-45.716
1.86,416.978,276.913,166.047,86.4958,-127.738,105.278,-44.7815
1.88,418.18,275.742,167.726,83.9213,-128.723,-49.2552,-43.6657
1.9,419.366,274.633,169.35,81.1981,-136.159,-371.767,-42.3652
1.92,420.54,273.589,170.921,78.5428,-132.767,169.578,-40.8777
1.94,421.701,272.613,172.437,75.8145,-136.415,-182.404,-39.202
1.96,422.844,271.71,173.893,72.8179,-149.829,-670.675,-37.339
1.98,423.954,270.893,175.272,68.9484,-193.474,-2182.25,-35.3248
2,425.031,270.159,176.575,65.1432,-190.261,160.648,-33.1894
2.02,426.076,269.502,177.81,61.7377,-170.275,999.287,-30.9562
2.04,427.095,268.918,178.984,58.71,-151.388,944.336,-28.6511
2.06,428.089,268.4,180.105,56.0396,-133.52,893.445,-26.3006
2.08,429.063,267.943,181.181,53.8052,-111.717,1090.15,-23.9305
2.1,430.019,267.543,182.218,51.8296,-98.7802,646.814,-21.5641
2.12,430.963,267.191,183.224,50.3436,-74.3026,1223.88,-19.2341
2.14,431.898,266.886,184.209,49.2086,-56.7472,877.77,-16.9625
2.16,432.828,266.622,185.176,48.3458,-43.1414,680.288,-14.7702
2.18,433.756,266.395,186.13,47.7388,-30.3481,639.668,-12.6755
2.2,434.682,266.205,187.076,47.2911,-22.3871,398.05,-10.6856
2.22,435.608,266.046,188.015,46.9467,-17.218,258.456,-8.81401
2.24,436.533,265.917,188.949,46.6937,-12.6499,228.404,-7.05815
2.26,437.458,265.817,189.88,46.5405,-7.66197,249.395,-5.4359
2.28,438.38,265.742,190.805,46.2412,-14.965,-365.15,-3.9302
2.3,439.296,265.69,191.722,45.8764,-18.2421,-163.858,-2.53246
2.32,440.207,265.661,192.633,45.5604,-15.7978,122.216,-1.25618
2.34,441.111,265.65,193.537,45.1994,-18.0505,-112.634,-0.0990183
2.36,442.006,265.657,194.432,44.7568,-22.1281,-203.882,0.957023
2.38,442.889,265.68,195.316,44.1692,-29.3807,-362.628,1.91645
2.4,443.758,265.716,196.186,43.5206,-32.4315,-152.542,2.78419
2.42,444.613,265.763,197.042,42.8049,-35.7845,-167.649,3.56546
2.44,445.45,265.821,197.881,41.9128,-44.6063,-441.091,4.26569
2.46,446.267,265.886,198.7,40.9911,-46.086,-73.9826,4.89046
2.48,447.062,265.959,199.499,39.9359,-52.7578,-333.591,5.44545
2.5,447.835,266.036,200.276,38.8384,-54.8729,-105.754,5.93641
2.52,448.583,266.116,201.028,37.6053,-61.659,-339.308,6.36917
2.54,449.307,266.2,201.757,36.4333,-58.5957,153.164,6.74963
2.56,450.004,266.285,202.459,35.1219,-65.5738,-348.902,7.08377
2.58,450.677,266.371,203.137,33.91,-60.5956,248.911,7.3777
2.6,451.319,266.455,203.785,32.3872,-76.1377,-777.107,7.62852
2.62,451.926,266.538,204.398,30.6427,-87.2261,-554.42,7.83746
2.64,452.51,266.619,204.988,29.4882,-57.7256,1475.03,8.02202
2.66,453.06,266.697,205.543,27.7746,-85.6763,-1397.53,8.17292
2.68,453.573,266.771,206.062,25.9195,-92.7596,-354.166,8.2951
2.7,454.065,266.844,206.559,24.8495,-53.4996,1963,8.40129
2.72,454.504,266.909,207.002,22.1819,-133.377,-3993.89,8.4787
2.74,454.925,266.972,207.428,21.2689,-45.6484,4386.45,8.54639
2.76,455.298,267.029,207.805,18.8832,-119.289,-3682.04,8.59764
2.78,455.626,267.078,208.137,16.5888,-114.719,228.505,8.63245
2.8,455.953,267.129,208.468,16.5469,-2.09422,5631.24,8.66726
2.82,456.173,267.162,208.69,11.1036,-272.166,-13503.6,8.68625
2.84,456.311,267.182,208.829,6.97553,-206.403,3288.16,8.69337
2.86,456.449,267.204,208.969,6.98312,0.379501,10339.1,8.70049
2.88,456.586,267.225,209.108,6.92608,-2.85166,-161.558,8.70761
2.9,456.724,267.247,209.247,6.98312,2.85165,285.165,8.71473
2.92,456.862,267.267,209.387,6.97567,-0.37227,-161.196,8.72184
2.94,457,267.289,209.527,6.98312,0.372265,37.2267,8.72896
